personId,game_winning_3,game_winning_2,game_winning_ft,game_winning_points,player_name
1642349,1,8,0,19,Ajay Mitchell
1642352,0,0,2,2,Keshad Johnson
1642354,1,0,0,3,KJ Simpson
1642363,1,0,0,3,Nique Clifford
1642366,1,1,0,5,Quinten Post
1642377,0,2,0,4,Jaylen Wells
1642404,1,0,0,3,Chaz Lanier
1642449,0,0,1,1,Tolu Smith
1642450,1,3,5,14,Daniss Jenkins
1642461,0,1,2,4,Spencer Jones
1642530,0,0,1,1,Yuki Kawamura
1642843,0,1,4,6,Cooper Flagg
1642844,1,4,1,12,Dylan Harper
1642845,3,4,2,19,VJ Edgecombe
1642846,1,0,0,3,Ace Bailey
1642847,0,1,0,2,Jeremiah Fears
1642849,2,0,0,6,Nolan Traore
1642851,3,3,1,16,Kon Knueppel
1642852,0,1,0,2,Derik Queen
1642853,2,0,0,6,Rasheer Fleming
1642854,1,0,0,3,Asa Newell
1642856,2,0,0,6,Egor Dëmin
1642860,0,1,1,3,Will Riley
1642863,0,0,1,1,Khaman Maluach
1642867,0,0,1,1,Collin Murray-Boyles
1642868,1,0,0,3,Carter Bryant
1642875,0,2,1,5,Maxime Raynaud
1642878,1,0,0,3,Tyrese Proctor
1642880,1,0,0,3,Kam Jones
1642883,2,0,0,6,Sion James
1642885,1,0,0,3,Mohamed Diawara
1642907,2,0,1,7,Cedric Coward
1642920,0,1,1,3,Kobe Sanders
1642928,0,1,0,2,Dylan Cardwell
1642948,0,1,0,2,Ryan Nembhard
1642949,0,1,0,2,Yanic Konan Niederhäuser
1642954,0,2,0,4,Will Richard
1642955,0,1,0,2,Kadary Richmond
1642962,0,1,0,2,Drake Powell
1643007,0,1,0,2,Taelon Peter
