PLAYER_NAME,MIN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,DEF_LOOSE_BALLS_RECOVERED,DEF_BOXOUTS,CONTESTED_SHOTS_2PT_per_36,CONTESTED_SHOTS_3PT_per_36,DEFLECTIONS_per_36,CHARGES_DRAWN_per_36,DEF_LOOSE_BALLS_RECOVERED_per_36,DEF_BOXOUTS_per_36,CONTESTED_SHOTS_2PT_per_36_percentile_rk,CONTESTED_SHOTS_3PT_per_36_percentile_rk,DEFLECTIONS_per_36_percentile_rk,CHARGES_DRAWN_per_36_percentile_rk,DEF_LOOSE_BALLS_RECOVERED_per_36_percentile_rk,DEF_BOXOUTS_per_36_percentile_rk,mean
Jake LaRavia,2061.0,181,136,253,2,24,32,3.1615720524017465,2.3755458515283845,4.419213973799127,0.034934497816593885,0.41921397379912667,0.5589519650655022,0.5013850415512465,0.518005540166205,0.9362880886426593,0.6066481994459834,0.8254847645429363,0.5844875346260388,0.6620498614958449
Jakob Poeltl,1149.0,221,82,116,2,12,61,6.924281984334204,2.569190600522193,3.6344647519582245,0.06266318537859007,0.37597911227154046,1.9112271540469974,0.850415512465374,0.6121883656509696,0.8587257617728532,0.7534626038781164,0.7257617728531855,0.9501385041551247,0.7917820867959372
Jalen Brunson,2590.0,82,140,111,29,24,14,1.1397683397683398,1.945945945945946,1.542857142857143,0.40308880308880307,0.33359073359073355,0.1945945945945946,0.027700831024930747,0.29362880886426596,0.10249307479224377,0.9944598337950139,0.6177285318559557,0.08310249307479224,0.3531855955678671
Jalen Duren,1976.0,415,186,106,0,21,94,7.560728744939271,3.388663967611336,1.9311740890688258,0.0,0.3825910931174089,1.7125506072874492,0.8864265927977839,0.8864265927977839,0.24376731301939059,0.21606648199445982,0.7451523545706371,0.9307479224376731,0.6514312096029548
Jalen Johnson,2532.0,202,140,171,2,13,42,2.8720379146919433,1.990521327014218,2.431279620853081,0.02843601895734597,0.1848341232227488,0.5971563981042655,0.4376731301939058,0.3268698060941828,0.5013850415512465,0.5526315789473685,0.12465373961218837,0.6204986149584487,0.4272853185595568
Jalen Pickett,731.0,43,44,25,0,3,11,2.1176470588235294,2.1668946648426815,1.231190150478796,0.0,0.14774281805745554,0.5417236662106704,0.21052631578947367,0.4155124653739612,0.0443213296398892,0.21606648199445982,0.055401662049861494,0.5623268698060941,0.25069252077562326
Jalen Smith,1095.0,221,94,36,4,11,63,7.265753424657534,3.0904109589041098,1.1835616438356162,0.13150684931506848,0.36164383561643837,2.0712328767123287,0.8698060941828255,0.8033240997229917,0.0332409972299169,0.889196675900277,0.6869806094182825,0.9750692520775623,0.7096029547553093
Jalen Suggs,1574.0,100,80,187,6,17,10,2.287166454891995,1.8297331639135959,4.2770012706480305,0.1372299872935197,0.38881829733163914,0.22871664548919948,0.26038781163434904,0.22437673130193905,0.9224376731301939,0.8975069252077562,0.7659279778393352,0.12188365650969529,0.5320867959372114
Jalen Wilson,828.0,52,49,47,0,5,16,2.2608695652173916,2.130434782608696,2.0434782608695654,0.0,0.21739130434782608,0.6956521739130435,0.2548476454293629,0.39335180055401664,0.29085872576177285,0.21606648199445982,0.22714681440443213,0.6620498614958449,0.3407202216066482
Jamal Murray,2652.0,160,155,136,4,17,14,2.171945701357466,2.1040723981900453,1.846153846153846,0.05429864253393665,0.23076923076923075,0.1900452488687783,0.22437673130193905,0.38227146814404434,0.20221606648199447,0.7091412742382271,0.26454293628808867,0.07202216066481995,0.309095106186519
Jamal Shead,1852.0,66,113,168,6,11,15,1.2829373650107991,2.1965442764578835,3.265658747300216,0.11663066954643628,0.21382289416846653,0.29157667386609076,0.04155124653739612,0.4404432132963989,0.7811634349030471,0.8698060941828255,0.2077562326869806,0.2409972299168975,0.430286241920591
Jamaree Bouyea,607.0,45,33,65,0,5,4,2.6688632619439865,1.957166392092257,3.8550247116968697,0.0,0.29654036243822074,0.2372322899505766,0.40443213296398894,0.29916897506925205,0.8808864265927978,0.21606648199445982,0.48753462603878117,0.1371191135734072,0.40420129270544786
James Harden,2438.0,92,130,133,0,25,37,1.3584905660377358,1.9196062346185396,1.9639048400328138,0.0,0.36915504511895,0.5463494667760459,0.04986149584487535,0.27146814404432135,0.25761772853185594,0.21606648199445982,0.6980609418282548,0.5706371191135734,0.34395198522622344
Jamir Watkins,1032.0,115,74,121,4,14,11,4.011627906976744,2.5813953488372094,4.22093023255814,0.13953488372093023,0.4883720930232558,0.38372093023255816,0.6592797783933518,0.6177285318559557,0.9168975069252078,0.9002770083102493,0.9030470914127424,0.37950138504155123,0.7294552169898431
Jamison Battle,424.0,44,16,19,1,3,6,3.7358490566037736,1.3584905660377358,1.6132075471698113,0.08490566037735849,0.25471698113207547,0.5094339622641509,0.6011080332409973,0.05263157894736842,0.12188365650969529,0.8199445983379502,0.3518005540166205,0.5290858725761773,0.41274238227146814
Jarace Walker,1937.0,127,90,145,1,14,29,2.3603510583376357,1.6726897263810014,2.6948890036138358,0.018585441404233353,0.2601961796592669,0.5389778007227671,0.29362880886426596,0.1440443213296399,0.6038781163434903,0.4709141274238227,0.37119113573407203,0.556786703601108,0.4067405355493998
Jared McCain,1121.0,72,67,62,3,13,5,2.312221231043711,2.151650312221231,1.9910793933987512,0.09634255129348795,0.4174843889384478,0.16057091882247992,0.2770083102493075,0.407202216066482,0.2742382271468144,0.8337950138504155,0.8199445983379502,0.036011080332409975,0.44136657433056325
Jaren Jackson Jr.,1455.0,289,147,108,1,12,35,7.150515463917525,3.6371134020618556,2.672164948453608,0.024742268041237116,0.29690721649484536,0.865979381443299,0.8559556786703602,0.9418282548476454,0.5955678670360111,0.5290858725761773,0.49445983379501385,0.7451523545706371,0.6936749769159741
Jarred Vanderbilt,1108.0,94,43,105,0,18,16,3.0541516245487363,1.3971119133574008,3.411552346570397,0.0,0.5848375451263538,0.5198555956678701,0.47368421052631576,0.060941828254847646,0.8116343490304709,0.21606648199445982,0.96398891966759,0.5429362880886427,0.5115420129270545
Jarrett Allen,1519.0,355,93,135,2,14,58,8.413429888084266,2.204081632653061,3.1994733377221856,0.047399605003291635,0.3317972350230415,1.3745885450954576,0.9307479224376731,0.45429362880886426,0.7590027700831025,0.6786703601108033,0.6066481994459834,0.8753462603878116,0.7174515235457063
Jase Richardson,501.0,49,17,30,1,6,5,3.5209580838323356,1.221556886227545,2.155688622754491,0.0718562874251497,0.4311377245508982,0.3592814371257485,0.5734072022160664,0.019390581717451522,0.3407202216066482,0.7867036011080333,0.8393351800554016,0.34349030470914127,0.4838411819021237
Javon Small,819.0,39,69,73,0,7,4,1.7142857142857142,3.0329670329670333,3.208791208791209,0.0,0.3076923076923077,0.1758241758241758,0.11911357340720222,0.7867036011080333,0.7645429362880887,0.21606648199445982,0.5373961218836565,0.04709141274238227,0.41181902123730385
Javonte Green,1428.0,71,71,207,1,31,23,1.7899159663865545,1.7899159663865545,5.218487394957983,0.025210084033613446,0.7815126050420168,0.5798319327731092,0.13019390581717452,0.20221606648199447,0.9833795013850416,0.5318559556786704,0.997229916897507,0.6094182825484764,0.5757156048014774
Jaxson Hayes,1207.0,244,128,73,1,10,35,7.277547638773819,3.8177299088649543,2.1772990886495442,0.029826014913007456,0.2982601491300746,1.043910521955261,0.8725761772853186,0.9584487534626038,0.3490304709141274,0.5650969529085873,0.4986149584487535,0.7977839335180056,0.6735918744228994
Jay Huff,1717.0,531,166,70,1,8,92,11.133372160745486,3.4804892253931277,1.467676179382644,0.020966802562609202,0.16773442050087362,1.9289458357600466,0.9916897506925207,0.9058171745152355,0.08310249307479224,0.49584487534626037,0.09418282548476455,0.961218836565097,0.5886426592797783
Jaylen Brown,2443.0,127,205,128,1,23,51,1.871469504707327,3.0208759721653706,1.8862054850593533,0.014735980352026197,0.3389275480966025,0.7515349979533361,0.15512465373961218,0.7811634349030471,0.22160664819944598,0.4404432132963989,0.6371191135734072,0.6925207756232687,0.4879963065558634
Jaylen Clark,869.0,95,54,89,0,6,6,3.935558112773303,2.237054085155351,3.6869965477560416,0.0,0.2485615650172612,0.2485615650172612,0.6454293628808865,0.46537396121883656,0.8642659279778393,0.21606648199445982,0.32132963988919666,0.15789473684210525,0.4450600184672207
Jaylen Wells,1821.0,129,111,111,0,21,12,2.5502471169686984,2.1943986820428334,2.1943986820428334,0.0,0.41515650741350907,0.2372322899505766,0.3573407202216066,0.4376731301939058,0.3628808864265928,0.21606648199445982,0.814404432132964,0.1371191135734072,0.3875807940904894
Jaylin Williams,1277.0,313,160,61,17,9,74,8.823805794831637,4.510571652310102,1.7196554424432264,0.4792482380579483,0.25371965544244324,2.086139389193422,0.9390581717451524,0.9916897506925207,0.1523545706371191,1.0,0.34349030470914127,0.9778393351800554,0.7340720221606648
Jaylon Tyson,1778.0,169,134,116,0,17,21,3.421822272215973,2.7131608548931383,2.348706411698538,0.0,0.344206974128234,0.4251968503937008,0.554016620498615,0.6897506925207756,0.45429362880886426,0.21606648199445982,0.6537396121883656,0.43213296398891965,0.49999999999999994
