player,pos,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Anthony Edwards,SG,0.617,31.5,3.5,0.10638297872340426,0.9787234042553191,0.010638297872340425,1.0957446808510638
Justin Edwards,SF,0.572,16.1,0.2,0.582089552238806,0.29850746268656714,0.5522388059701493,1.4328358208955225
Keon Ellis,SG,0.579,13,0.6,0.4148936170212766,0.07446808510638298,0.3829787234042553,0.8723404255319149
Drew Eubanks,C,0.605,16.3,-0.2,0.5571428571428572,0.4,0.8857142857142857,1.842857142857143
Jeremiah Fears,PG,0.525,25.5,-0.4,0.7377049180327869,0.8032786885245902,0.8852459016393442,2.4262295081967213
Kyle Filipowski,C,0.586,20,0.4,0.7,0.8,0.6428571428571429,2.142857142857143
Cooper Flagg,SF,0.548,26.9,2,0.7611940298507462,0.8507462686567164,0.1791044776119403,1.791044776119403
Rasheer Fleming,PF,0.517,16.3,-0.3,0.921875,0.390625,0.921875,2.234375
Simone Fontecchio,SF,0.579,19.6,0.7,0.44776119402985076,0.5522388059701493,0.373134328358209,1.373134328358209
De'Aaron Fox,PG,0.578,24.9,2.4,0.3442622950819672,0.7377049180327869,0.21311475409836064,1.2950819672131149
Daniel Gafford,C,0.677,15.8,0.8,0.18571428571428572,0.32857142857142857,0.4714285714285714,0.9857142857142857
Myron Gardner,SF,0.606,15,0.3,0.22388059701492538,0.208955223880597,0.5074626865671642,0.9402985074626866
Darius Garland,PG,0.582,27.4,0.6,0.2786885245901639,0.8360655737704918,0.45901639344262296,1.5737704918032787
Luka Garza,C,0.682,17.7,1.2,0.14285714285714285,0.5142857142857142,0.34285714285714286,0.9999999999999999
Keyonte George,PG,0.609,27.9,1.3,0.13114754098360656,0.8524590163934426,0.32786885245901637,1.3114754098360655
Kyshawn George,SF,0.559,22.8,0.3,0.6716417910447762,0.7611940298507462,0.5074626865671642,1.9402985074626868
Josh Giddey,PG,0.562,24.4,2,0.5409836065573771,0.7213114754098361,0.22950819672131148,1.4918032786885247
Shai Gilgeous-Alexander,PG,0.665,33.4,7.8,0,0.9836065573770492,0,0.9836065573770492
Anthony Gill,PF,0.682,11.9,-0.2,0.015625,0.0625,0.828125,0.90625
Collin Gillespie,PG,0.575,18.7,2.6,0.39344262295081966,0.32786885245901637,0.16393442622950818,0.8852459016393441
Rudy Gobert,C,0.664,12.9,1.8,0.2714285714285714,0.14285714285714285,0.14285714285714285,0.5571428571428572
Hugo González,SF,0.561,11.8,0.1,0.6417910447761194,0.029850746268656716,0.6119402985074627,1.2835820895522387
Jordan Goodwin,PG,0.525,17.5,1.5,0.7377049180327869,0.22950819672131148,0.29508196721311475,1.2622950819672132
Jerami Grant,PF,0.608,23.8,0.9,0.265625,0.921875,0.296875,1.484375
A.J. Green,SG,0.627,14,-0.8,0.0851063829787234,0.14893617021276595,0.9042553191489362,1.1382978723404256
Draymond Green,PF,0.54,16.1,0.3,0.828125,0.359375,0.546875,1.734375
Javonte Green,SG,0.607,14.8,1.5,0.20212765957446807,0.22340425531914893,0.13829787234042554,0.5638297872340425
Josh Green,SG,0.644,10.6,0.3,0.031914893617021274,0.02127659574468085,0.44680851063829785,0.5
Quentin Grimes,SG,0.585,19,0.2,0.3617021276595745,0.6276595744680851,0.48936170212765956,1.478723404255319
Mouhamed Gueye,PF,0.539,12.4,0.2,0.84375,0.09375,0.59375,1.53125
Rui Hachimura,PF,0.62,15.2,-0.1,0.203125,0.28125,0.75,1.234375
Tim Hardaway Jr.,SG,0.624,18.5,0.7,0.09574468085106383,0.6063829787234043,0.32978723404255317,1.0319148936170213
James Harden,PG,0.61,28.6,3.6,0.11475409836065574,0.8852459016393442,0.08196721311475409,1.0819672131147542
Jaden Hardy,SG,0.566,24.4,-0.6,0.5425531914893617,0.9042553191489362,0.851063829787234,2.2978723404255317
Dylan Harper,SG,0.574,21.8,1.3,0.44680851063829785,0.7978723404255319,0.19148936170212766,1.4361702127659575
Gary Harris,SG,0.593,8.5,-0.1,0.32978723404255317,0,0.5851063829787234,0.9148936170212766
Tobias Harris,PF,0.574,18.8,1.5,0.546875,0.609375,0.140625,1.296875
Isaiah Hartenstein,C,0.631,16.1,1.8,0.38571428571428573,0.35714285714285715,0.14285714285714285,0.8857142857142857
Josh Hart,SF,0.612,16.7,2.5,0.1791044776119403,0.3283582089552239,0.13432835820895522,0.6417910447761195
Sam Hauser,PF,0.59,14.5,1.3,0.421875,0.21875,0.1875,0.828125
Jordan Hawkins,SG,0.48,18.2,-0.7,0.9680851063829787,0.5319148936170213,0.8723404255319149,2.372340425531915
Jaxson Hayes,C,0.758,13,1,0.02857142857142857,0.15714285714285714,0.38571428571428573,0.5714285714285714
Taylor Hendricks,PF,0.566,16.2,-0.1,0.671875,0.375,0.75,1.796875
Buddy Hield,SG,0.568,20.3,0.2,0.48936170212765956,0.723404255319149,0.48936170212765956,1.702127659574468
Aaron Holiday,PG,0.578,16.6,-0.1,0.3442622950819672,0.18032786885245902,0.7213114754098361,1.2459016393442623
Jrue Holiday,PG,0.573,23.5,1.6,0.4262295081967213,0.6721311475409836,0.2786885245901639,1.3770491803278686
Ron Holland,SF,0.525,18.9,0,0.9402985074626866,0.5223880597014925,0.6865671641791045,2.1492537313432836
Chet Holmgren,PF,0.653,21.9,3.1,0.0625,0.796875,0.015625,0.875
Al Horford,C,0.554,16.5,0.9,0.8571428571428571,0.4142857142857143,0.42857142857142855,1.7
Jett Howard,SF,0.561,17.2,0,0.6417910447761194,0.3880597014925373,0.6865671641791045,1.7164179104477613
Kevin Huerter,SF,0.552,18.8,0.6,0.7164179104477612,0.5074626865671642,0.417910447761194,1.6417910447761193
Jay Huff,C,0.598,18,1.1,0.6,0.5428571428571428,0.37142857142857144,1.5142857142857142
Ariel Hukporti,C,0.619,10.9,0,0.45714285714285713,0.05714285714285714,0.8285714285714286,1.342857142857143
De'Andre Hunter,SF,0.545,22.9,-0.6,0.7910447761194029,0.7761194029850746,0.9402985074626866,2.5074626865671643
Bones Hyland,PG,0.599,20.6,1.1,0.18032786885245902,0.45901639344262296,0.3770491803278688,1.0163934426229508
Oso Ighodaro,PF,0.636,12.2,0.9,0.140625,0.078125,0.296875,0.515625
Brandon Ingram,SF,0.573,26.9,1.7,0.5373134328358209,0.8507462686567164,0.22388059701492538,1.6119402985074627
Jonathan Isaac,PF,0.498,12.4,0.1,0.96875,0.09375,0.65625,1.71875
Andre Jackson Jr.,SG,0.425,17.8,-0.5,0.9893617021276596,0.5106382978723404,0.8191489361702128,2.3191489361702127
GG Jackson II,PF,0.591,23.5,0.2,0.40625,0.90625,0.59375,1.90625
Isaiah Jackson,C,0.653,16.2,0.2,0.2857142857142857,0.38571428571428573,0.7428571428571429,1.4142857142857144
Jaren Jackson Jr.,C,0.576,26.2,0.5,0.7571428571428571,0.9428571428571428,0.6,2.3
Quenton Jackson,PG,0.589,20.9,0,0.21311475409836064,0.47540983606557374,0.7049180327868853,1.3934426229508197
Trayce Jackson-Davis,C,0.578,15.3,0.2,0.7428571428571429,0.2714285714285714,0.7428571428571429,1.7571428571428571
Kasparas Jakučionis,PG,0.614,13.7,0.4,0.08196721311475409,0.09836065573770492,0.5573770491803278,0.7377049180327868
Bronny James,SG,0.517,16.7,-0.2,0.8936170212765957,0.39361702127659576,0.6914893617021277,1.978723404255319
LeBron James,SF,0.594,27.2,2.8,0.29850746268656714,0.9104477611940298,0.1044776119402985,1.3134328358208955
Sion James,SG,0.531,11,0,0.7978723404255319,0.031914893617021274,0.5638297872340425,1.3936170212765957
Jaime Jaquez Jr.,SF,0.57,22.3,1.1,0.5970149253731343,0.7014925373134329,0.31343283582089554,1.6119402985074627
Daniss Jenkins,PG,0.525,21.5,0.5,0.7377049180327869,0.5409836065573771,0.5409836065573771,1.819672131147541
Isaiah Joe,SG,0.657,18.4,1.7,0.010638297872340425,0.5638297872340425,0.10638297872340426,0.6808510638297872
AJ Johnson,SG,0.413,20.6,-0.8,1,0.7340425531914894,0.9042553191489362,2.6382978723404253
Cameron Johnson,SF,0.629,15.1,0.6,0.05970149253731343,0.22388059701492538,0.417910447761194,0.7014925373134329
Jalen Johnson,SF,0.581,27,4,0.417910447761194,0.8805970149253731,0.029850746268656716,1.328358208955224
Keldon Johnson,SF,0.613,21,1.4,0.14925373134328357,0.6567164179104478,0.2835820895522388,1.0895522388059702
Tre Johnson,SG,0.535,22.5,-1.1,0.7446808510638298,0.8297872340425532,0.9468085106382979,2.5212765957446805
Nikola Jokić,C,0.67,30.4,9.2,0.24285714285714285,0.9857142857142858,0,1.2285714285714286
Derrick Jones Jr.,SF,0.6,15.1,0.5,0.23880597014925373,0.22388059701492538,0.4626865671641791,0.9253731343283582
Herbert Jones,SF,0.491,15.2,-0.5,1,0.2537313432835821,0.9104477611940298,2.164179104477612
Spencer Jones,SF,0.619,9.7,-0.1,0.13432835820895522,0,0.7761194029850746,0.9104477611940298
Tre Jones,PG,0.637,19.2,1.5,0.01639344262295082,0.39344262295081966,0.29508196721311475,0.7049180327868853
Tyus Jones,PG,0.448,10.7,-0.1,1,0,0.7213114754098361,1.721311475409836
Nikola Jović,PF,0.48,21.4,-0.3,1,0.765625,0.921875,2.6875
Ryan Kalkbrenner,C,0.762,11.6,1.4,0.014285714285714285,0.11428571428571428,0.3,0.42857142857142855
Luke Kennard,SG,0.689,13.5,0.9,0,0.10638297872340426,0.2765957446808511,0.3829787234042553
Corey Kispert,SF,0.609,18.6,0,0.19402985074626866,0.47761194029850745,0.6865671641791045,1.3582089552238805
