PLAY_TYPE,PLAYER_NAME,TEAM_ABBREVIATION,POSS,POSS_PCT,player_ppp,league_ppp,pts_saved_above_lg_avg
Isolation,Gary Payton II,GSW,19,0.046,0.7894736842105263,0.9297001303780965,2.6643024771838335
Isolation,Trayce Jackson-Davis,GSW,19,0.098,0.7894736842105263,0.9297001303780965,2.6643024771838335
Isolation,Tyler Kolek,NYK,17,0.067,0.8823529411764706,0.9297001303780965,0.8049022164276411
Isolation,Bogdan Bogdanović,LAC,16,0.112,0.9375,0.9297001303780965,-0.12479791395045581
Isolation,Rayan Rupert,POR,15,0.078,1.0,0.9297001303780965,-1.0544980443285523
Isolation,Carter Bryant,SAS,26,0.068,0.6153846153846154,0.9297001303780965,8.172203389830509
Isolation,Giannis Antetokounmpo,MIL,26,0.082,0.6153846153846154,0.9297001303780965,8.172203389830509
Isolation,Jalen Pickett,DEN,21,0.084,0.7619047619047619,0.9297001303780965,3.5237027379400274
Isolation,Jalen Williams,OKC,15,0.058,1.0666666666666667,0.9297001303780965,-2.054498044328552
Isolation,Ty Jerome,MEM,12,0.103,1.3333333333333333,0.9297001303780965,-4.843598435462841
Isolation,Grant Williams,CHA,27,0.099,0.6296296296296297,0.9297001303780965,8.101903520208605
Isolation,Ayo Dosunmu,CHI,25,0.064,0.68,0.9297001303780965,6.242503259452412
Isolation,Isaiah Jackson,IND,24,0.084,0.7083333333333334,0.9297001303780965,5.312803129074315
Isolation,CJ McCollum,WAS,23,0.062,0.7391304347826086,0.9297001303780965,4.383102998696221
Isolation,Kam Jones,IND,22,0.099,0.7727272727272727,0.9297001303780965,3.4534028683181237
Isolation,Asa Newell,ATL,22,0.105,0.7727272727272727,0.9297001303780965,3.4534028683181237
Isolation,Kenrich Williams,OKC,21,0.077,0.8095238095238095,0.9297001303780965,2.5237027379400265
Isolation,Taelon Peter,IND,18,0.087,0.9444444444444444,0.9297001303780965,-0.26539765319426234
Isolation,Larry Nance Jr.,CLE,17,0.127,1.0,0.9297001303780965,-1.1950977835723593
Isolation,Javon Small,MEM,16,0.052,1.0625,0.9297001303780965,-2.124797913950456
Isolation,Cole Anthony,MIL,15,0.075,1.1333333333333333,0.9297001303780965,-3.054498044328552
Isolation,Guerschon Yabusele,NYK,14,0.114,1.2142857142857142,0.9297001303780965,-3.9841981747066475
Isolation,Jonathan Kuminga,GSW,13,0.073,1.3076923076923077,0.9297001303780965,-4.913898305084746
Isolation,Trae Young,ATL,12,0.112,1.4166666666666667,0.9297001303780965,-5.843598435462843
Isolation,Josh Okogie,HOU,34,0.074,0.5294117647058824,0.9297001303780965,13.609804432855281
Isolation,Drake Powell,BKN,32,0.085,0.5625,0.9297001303780965,11.750404172099088
Isolation,Dylan Harper,SAS,31,0.061,0.5806451612903226,0.9297001303780965,10.82070404172099
Isolation,T.J. McConnell,IND,22,0.073,0.8181818181818182,0.9297001303780965,2.453402868318122
Isolation,Taurean Prince,MIL,20,0.116,0.9,0.9297001303780965,0.5940026075619298
Isolation,Moussa Cisse,DAL,19,0.07,0.9473684210526315,0.9297001303780965,-0.3356975228161653
Isolation,D'Angelo Russell,DAL,15,0.082,1.2,0.9297001303780965,-4.054498044328552
Isolation,Cam Thomas,BKN,13,0.092,1.3846153846153846,0.9297001303780965,-5.913898305084745
Isolation,Caris LeVert,DET,36,0.088,0.5277777777777778,0.9297001303780965,14.469204693611474
Isolation,Vince Williams Jr.,MEM,25,0.081,0.76,0.9297001303780965,4.242503259452413
Isolation,Caleb Martin,DAL,24,0.071,0.7916666666666666,0.9297001303780965,3.312803129074317
Isolation,Lonzo Ball,CLE,22,0.087,0.8636363636363636,0.9297001303780965,1.453402868318123
Isolation,Jaylin Williams,OKC,38,0.057,0.5263157894736842,0.9297001303780965,15.328604954367668
Isolation,Isaiah Collier,UTA,28,0.059,0.7142857142857143,0.9297001303780965,6.0316036505867014
Isolation,Tre Mann,CHA,17,0.082,1.1764705882352942,0.9297001303780965,-4.1950977835723595
Isolation,Jaden Ivey,DET,15,0.077,1.3333333333333333,0.9297001303780965,-6.054498044328551
Isolation,Jordan Miller,LAC,37,0.073,0.5675675675675675,0.9297001303780965,13.398904823989572
Isolation,De'Andre Hunter,CLE,36,0.106,0.5833333333333334,0.9297001303780965,12.469204693611474
Isolation,Isaiah Joe,OKC,31,0.061,0.6774193548387096,0.9297001303780965,7.820704041720993
Isolation,Alex Caruso,OKC,27,0.07,0.7777777777777778,0.9297001303780965,4.101903520208605
Isolation,Kristaps Porziņģis,ATL,26,0.13,0.8076923076923077,0.9297001303780965,3.172203389830509
Isolation,Anfernee Simons,BOS,25,0.069,0.84,0.9297001303780965,2.2425032594524135
Isolation,Jusuf Nurkić,UTA,24,0.053,0.875,0.9297001303780965,1.3128031290743163
Isolation,Jordan Poole,NOP,24,0.08,0.875,0.9297001303780965,1.3128031290743163
Isolation,Jabari Walker,PHI,24,0.092,0.875,0.9297001303780965,1.3128031290743163
Isolation,Luka Garza,BOS,21,0.038,1.0,0.9297001303780965,-1.4762972620599732
Isolation,Tyus Jones,ORL,21,0.093,1.0,0.9297001303780965,-1.4762972620599732
Isolation,Liam McNeeley,CHA,20,0.175,1.05,0.9297001303780965,-2.4059973924380706
Isolation,Jonathan Isaac,ORL,19,0.103,1.105263157894737,0.9297001303780965,-3.3356975228161683
Isolation,Coby White,CHI,18,0.063,1.1666666666666667,0.9297001303780965,-4.265397653194264
Isolation,Khris Middleton,WAS,37,0.146,0.5945945945945946,0.9297001303780965,12.39890482398957
Isolation,Ryan Nembhard,DAL,27,0.064,0.8148148148148148,0.9297001303780965,3.101903520208607
Isolation,De'Anthony Melton,GSW,26,0.061,0.8461538461538461,0.9297001303780965,2.1722033898305098
Isolation,Anthony Davis,DAL,25,0.086,0.88,0.9297001303780965,1.2425032594524126
Isolation,Miles McBride,NYK,21,0.053,1.0476190476190477,0.9297001303780965,-2.4762972620599744
Isolation,Dalen Terry,CHI,20,0.134,1.1,0.9297001303780965,-3.4059973924380715
Isolation,Aaron Holiday,HOU,19,0.067,1.1578947368421053,0.9297001303780965,-4.335697522816167
Isolation,Branden Carlson,OKC,18,0.068,1.2222222222222223,0.9297001303780965,-5.265397653194265
Isolation,Anthony Gill,WAS,33,0.081,0.696969696969697,0.9297001303780965,7.680104302477183
Isolation,Paul George,PHI,26,0.073,0.8846153846153846,0.9297001303780965,1.1722033898305102
Isolation,Tidjane Salaün,CHA,26,0.113,0.8846153846153846,0.9297001303780965,1.1722033898305102
Isolation,Elijah Harkless,UTA,22,0.092,1.0454545454545454,0.9297001303780965,-2.546597131681876
Isolation,Dillon Brooks,PHX,35,0.063,0.6857142857142857,0.9297001303780965,8.539504563233377
Isolation,Robert Williams III,POR,31,0.06,0.7741935483870968,0.9297001303780965,4.820704041720992
Isolation,Kawhi Leonard,LAC,26,0.044,0.9230769230769231,0.9297001303780965,0.17220338983050798
Isolation,Jock Landale,MEM,26,0.061,0.9230769230769231,0.9297001303780965,0.17220338983050798
Isolation,Malik Monk,SAC,24,0.056,1.0,0.9297001303780965,-1.6871968709256837
Isolation,Zach LaVine,SAC,22,0.06,1.0909090909090908,0.9297001303780965,-3.546597131681875
Isolation,Tyrese Maxey,PHI,39,0.045,0.6410256410256411,0.9297001303780965,11.258305084745762
Isolation,Mike Conley,MIN,31,0.091,0.8064516129032258,0.9297001303780965,3.8207040417209934
Isolation,Aaron Wiggins,OKC,29,0.053,0.8620689655172413,0.9297001303780965,1.9613037809648004
Isolation,Ochai Agbaji,TOR,29,0.104,0.8620689655172413,0.9297001303780965,1.9613037809648004
Isolation,Keegan Murray,SAC,28,0.108,0.8928571428571429,0.9297001303780965,1.031603650586701
Isolation,Yanic Konan Niederhäuser,LAC,26,0.109,0.9615384615384616,0.9297001303780965,-0.8277966101694914
Isolation,Jaylen Brown,BOS,20,0.026,1.25,0.9297001303780965,-6.40599739243807
Isolation,Moritz Wagner,ORL,17,0.082,1.4705882352941178,0.9297001303780965,-9.195097783572361
Isolation,Kyle Anderson,UTA,17,0.11,1.4705882352941178,0.9297001303780965,-9.195097783572361
Isolation,Terrence Shannon Jr.,MIN,15,0.087,1.6666666666666667,0.9297001303780965,-11.054498044328554
Isolation,Klay Thompson,DAL,35,0.08,0.7428571428571429,0.9297001303780965,6.539504563233377
Isolation,Marcus Smart,LAL,34,0.053,0.7647058823529411,0.9297001303780965,5.609804432855283
Isolation,Kevin Porter Jr.,MIL,30,0.058,0.8666666666666667,0.9297001303780965,1.8910039113428945
Isolation,Jarred Vanderbilt,LAL,27,0.075,0.9629629629629629,0.9297001303780965,-0.8980964797913927
Isolation,Micah Peavy,NOP,27,0.081,0.9629629629629629,0.9297001303780965,-0.8980964797913927
Isolation,Bennedict Mathurin,IND,23,0.079,1.1304347826086956,0.9297001303780965,-4.616897001303778
Isolation,Gary Harris,MIL,20,0.074,1.3,0.9297001303780965,-7.405997392438071
Isolation,Grayson Allen,PHX,44,0.086,0.6136363636363636,0.9297001303780965,13.906805736636246
Isolation,Jaren Jackson Jr.,MEM,35,0.063,0.7714285714285715,0.9297001303780965,5.539504563233376
Isolation,Luguentz Dort,OKC,34,0.046,0.7941176470588235,0.9297001303780965,4.609804432855283
Isolation,Zeke Nnaji,DEN,30,0.113,0.9,0.9297001303780965,0.8910039113428947
Isolation,Tre Johnson,WAS,25,0.054,1.08,0.9297001303780965,-3.757496740547589
Isolation,LeBron James,LAL,45,0.101,0.6222222222222222,0.9297001303780965,13.836505867014342
Isolation,Justin Champagnie,WAS,40,0.073,0.7,0.9297001303780965,9.188005215123862
Isolation,Derrick White,BOS,38,0.039,0.7368421052631579,0.9297001303780965,7.328604954367669
Isolation,Pat Spencer,GSW,38,0.096,0.7368421052631579,0.9297001303780965,7.328604954367669
Isolation,Jordan Clarkson,NYK,30,0.076,0.9333333333333333,0.9297001303780965,-0.10899608865710508
Isolation,Jose Alvarado,NOP,28,0.094,1.0,0.9297001303780965,-1.9683963494132977
Isolation,Keon Ellis,SAC,27,0.083,1.037037037037037,0.9297001303780965,-2.8980964797913926
Isolation,Taylor Hendricks,UTA,21,0.108,1.3333333333333333,0.9297001303780965,-8.476297262059973
Isolation,LaMelo Ball,CHA,41,0.072,0.7073170731707317,0.9297001303780965,9.117705345501959
Isolation,Donovan Clingan,POR,35,0.028,0.8285714285714286,0.9297001303780965,3.539504563233376
Isolation,Bilal Coulibaly,WAS,33,0.068,0.8787878787878788,0.9297001303780965,1.6801043024771851
Isolation,Andre Drummond,PHI,30,0.053,0.9666666666666667,0.9297001303780965,-1.1089960886571049
Isolation,Jamal Cain,ORL,26,0.114,1.1153846153846154,0.9297001303780965,-4.827796610169491
Isolation,Clint Capela,HOU,24,0.047,1.2083333333333333,0.9297001303780965,-6.687196870925682
Isolation,Josh Minott,BOS,22,0.095,1.3181818181818181,0.9297001303780965,-8.546597131681875
Isolation,Brandin Podziemski,GSW,48,0.07,0.625,0.9297001303780965,14.625606258148633
Isolation,Kyshawn George,WAS,46,0.075,0.6521739130434783,0.9297001303780965,12.76620599739244
Isolation,Craig Porter Jr.,CLE,40,0.09,0.75,0.9297001303780965,7.1880052151238605
Isolation,Jalen Suggs,ORL,36,0.062,0.8333333333333334,0.9297001303780965,3.469204693611473
Isolation,Paul Reed,DET,33,0.075,0.9090909090909091,0.9297001303780965,0.6801043024771859
Isolation,Jalen Green,PHX,31,0.107,0.967741935483871,0.9297001303780965,-1.179295958279009
Isolation,Dennis Schröder,SAC,29,0.072,1.0344827586206897,0.9297001303780965,-3.038696219035203
Isolation,Isaac Okoro,CHI,44,0.061,0.7045454545454546,0.9297001303780965,9.906805736636244
Isolation,Jrue Holiday,POR,36,0.066,0.8611111111111112,0.9297001303780965,2.4692046936114727
Isolation,Justin Edwards,PHI,24,0.062,1.2916666666666667,0.9297001303780965,-8.687196870925685
Isolation,Kentavious Caldwell-Pope,MEM,23,0.077,1.3478260869565217,0.9297001303780965,-9.61689700130378
Isolation,Santi Aldama,MEM,38,0.075,0.8421052631578947,0.9297001303780965,3.3286049543676692
Isolation,Gradey Dick,TOR,37,0.094,0.8648648648648649,0.9297001303780965,2.398904823989569
Isolation,Jaylen Clark,MIN,37,0.103,0.8648648648648649,0.9297001303780965,2.398904823989569
Isolation,Jamir Watkins,WAS,33,0.076,0.9696969696969697,0.9297001303780965,-1.319895697522816
Isolation,Trendon Watford,PHI,32,0.106,1.0,0.9297001303780965,-2.2495958279009116
Isolation,Domantas Sabonis,SAC,31,0.112,1.032258064516129,0.9297001303780965,-3.179295958279007
Isolation,Isaiah Hartenstein,OKC,42,0.076,0.7857142857142857,0.9297001303780965,6.047405475880054
Isolation,Sam Merrill,CLE,42,0.09,0.7857142857142857,0.9297001303780965,6.047405475880054
Isolation,Walter Clayton Jr.,UTA,40,0.111,0.825,0.9297001303780965,4.188005215123862
Isolation,Cameron Johnson,DEN,39,0.075,0.8461538461538461,0.9297001303780965,3.258305084745764
Isolation,Julian Strawther,DEN,28,0.095,1.1785714285714286,0.9297001303780965,-6.9683963494132986
Isolation,Peyton Watson,DEN,42,0.064,0.8095238095238095,0.9297001303780965,5.047405475880053
Isolation,Davion Mitchell,MIA,41,0.051,0.8292682926829268,0.9297001303780965,4.1177053455019585
Isolation,De'Aaron Fox,SAS,38,0.046,0.8947368421052632,0.9297001303780965,1.3286049543676672
Isolation,Anthony Edwards,MIN,35,0.054,0.9714285714285714,0.9297001303780965,-1.4604954367666219
Isolation,Russell Westbrook,SAC,33,0.055,1.0303030303030303,0.9297001303780965,-3.3198956975228144
Isolation,Gary Trent Jr.,MIL,29,0.072,1.1724137931034482,0.9297001303780965,-7.038696219035199
Isolation,Tre Jones,CHI,44,0.065,0.7954545454545454,0.9297001303780965,5.906805736636248
Isolation,Ben Saraf,BKN,40,0.117,0.875,0.9297001303780965,2.1880052151238605
Isolation,Cam Spencer,MEM,39,0.074,0.8974358974358975,0.9297001303780965,1.2583050847457629
Isolation,Noah Penda,ORL,37,0.121,0.9459459459459459,0.9297001303780965,-0.6010951760104289
Isolation,Maxi Kleber,LAL,35,0.145,1.0,0.9297001303780965,-2.460495436766622
Isolation,Ryan Kalkbrenner,CHA,32,0.037,1.09375,0.9297001303780965,-5.249595827900912
Isolation,Daniel Gafford,DAL,32,0.055,1.09375,0.9297001303780965,-5.249595827900912
Isolation,Devin Vassell,SAS,43,0.071,0.8372093023255814,0.9297001303780965,3.977105606258148
Isolation,Shaedon Sharpe,POR,41,0.095,0.8780487804878049,0.9297001303780965,2.1177053455019568
Isolation,Kris Murray,POR,39,0.1,0.9230769230769231,0.9297001303780965,0.25830508474576197
Isolation,Aaron Nesmith,IND,35,0.067,1.0285714285714285,0.9297001303780965,-3.4604954367666183
Isolation,Rasheer Fleming,PHX,34,0.132,1.0588235294117647,0.9297001303780965,-4.390195567144719
Isolation,OG Anunoby,NYK,51,0.061,0.7254901960784313,0.9297001303780965,10.414706649282923
