personId,blocks_recovered_by_other,blocks_recovered_by_own,blocks,percent_blk_recovered_by_own,player_name
1627750,17.0,12.0,29.0,0.41379310344827586,Jamal Murray
1627751,18.0,14.0,32.0,0.4375,Jakob Poeltl
1627752,4.0,2.0,6.0,0.3333333333333333,Taurean Prince
1627759,17.0,10.0,27.0,0.37037037037037035,Jaylen Brown
1627780,12.0,9.0,21.0,0.42857142857142855,Gary Payton II
1627783,11.0,14.0,25.0,0.56,Pascal Siakam
1627824,8.0,8.0,16.0,0.5,Guerschon Yabusele
1627826,20.0,20.0,40.0,0.5,Ivica Zubac
1627827,3.0,3.0,6.0,0.5,Dorian Finney-Smith
1627884,21.0,29.0,50.0,0.58,Derrick Jones Jr.
1627936,7.0,10.0,17.0,0.5882352941176471,Alex Caruso
1628366,3.0,6.0,9.0,0.6666666666666666,Lonzo Ball
1628368,8.0,11.0,19.0,0.5789473684210527,De'Aaron Fox
1628369,1.0,2.0,3.0,0.6666666666666666,Jayson Tatum
1628370,14.0,10.0,24.0,0.4166666666666667,Malik Monk
1628371,14.0,17.0,31.0,0.5483870967741935,Jonathan Isaac
1628374,10.0,11.0,21.0,0.5238095238095238,Lauri Markkanen
1628378,11.0,9.0,20.0,0.45,Donovan Mitchell
1628379,5.0,3.0,8.0,0.375,Luke Kennard
1628380,1.0,3.0,4.0,0.75,Zach Collins
1628381,18.0,33.0,51.0,0.6470588235294118,John Collins
1628384,19.0,30.0,49.0,0.6122448979591837,OG Anunoby
1628386,27.0,20.0,47.0,0.425531914893617,Jarrett Allen
1628389,18.0,31.0,49.0,0.6326530612244898,Bam Adebayo
1628392,9.0,27.0,36.0,0.75,Isaiah Hartenstein
1628396,1.0,6.0,7.0,0.8571428571428571,Tony Bradley
1628398,12.0,16.0,28.0,0.5714285714285714,Kyle Kuzma
1628401,43.0,54.0,97.0,0.5567010309278351,Derrick White
1628404,10.0,8.0,18.0,0.4444444444444444,Josh Hart
1628415,3.0,6.0,9.0,0.6666666666666666,Dillon Brooks
1628418,8.0,19.0,27.0,0.7037037037037037,Thomas Bryant
1628420,0.0,1.0,1.0,1.0,Monte Morris
1628436,30.0,35.0,65.0,0.5384615384615384,Luke Kornet
1628449,7.0,0.0,7.0,0.0,Chris Boucher
1628467,2.0,9.0,11.0,0.8181818181818182,Maxi Kleber
1628502,1.0,1.0,2.0,0.5,Nigel Hayes-Davis
1628960,7.0,6.0,13.0,0.46153846153846156,Grayson Allen
1628963,19.0,24.0,43.0,0.5581395348837209,Marvin Bagley III
1628964,3.0,0.0,3.0,0.0,Mo Bamba
1628969,27.0,35.0,62.0,0.5645161290322581,Mikal Bridges
1628970,12.0,20.0,32.0,0.625,Miles Bridges
1628971,13.0,7.0,20.0,0.35,Bruce Brown
1628973,8.0,1.0,9.0,0.1111111111111111,Jalen Brunson
1628975,7.0,3.0,10.0,0.3,Jevon Carter
1628976,17.0,32.0,49.0,0.6530612244897959,Wendell Carter Jr.
1628978,18.0,16.0,34.0,0.47058823529411764,Donte DiVincenzo
1628983,24.0,28.0,52.0,0.5384615384615384,Shai Gilgeous-Alexander
1628988,4.0,1.0,5.0,0.2,Aaron Holiday
1628989,17.0,16.0,33.0,0.48484848484848486,Kevin Huerter
1628991,31.0,38.0,69.0,0.5507246376811594,Jaren Jackson Jr.
1628997,5.0,10.0,15.0,0.6666666666666666,Caleb Martin
1628998,0.0,2.0,2.0,1.0,Cody Martin
1629001,9.0,11.0,20.0,0.55,De'Anthony Melton
1629004,2.0,1.0,3.0,0.3333333333333333,Svi Mykhailiuk
1629006,10.0,6.0,16.0,0.375,Josh Okogie
1629008,6.0,7.0,13.0,0.5384615384615384,Michael Porter Jr.
1629011,29.0,43.0,72.0,0.5972222222222222,Mitchell Robinson
1629012,8.0,2.0,10.0,0.2,Collin Sexton
1629013,3.0,6.0,9.0,0.6666666666666666,Landry Shamet
1629014,5.0,3.0,8.0,0.375,Anfernee Simons
1629018,1.0,2.0,3.0,0.6666666666666666,Gary Trent Jr.
1629020,9.0,10.0,19.0,0.5263157894736842,Jarred Vanderbilt
1629021,1.0,1.0,2.0,0.5,Moritz Wagner
1629023,30.0,30.0,60.0,0.5,P.J. Washington
1629026,4.0,1.0,5.0,0.2,Kenrich Williams
1629027,2.0,0.0,2.0,0.0,Trae Young
1629028,31.0,39.0,70.0,0.5571428571428572,Deandre Ayton
1629029,17.0,17.0,34.0,0.5,Luka Dončić
1629048,23.0,38.0,61.0,0.6229508196721312,Goga Bitadze
1629057,35.0,52.0,87.0,0.5977011494252874,Robert Williams III
1629060,11.0,10.0,21.0,0.47619047619047616,Rui Hachimura
1629111,19.0,17.0,36.0,0.4722222222222222,Jock Landale
1629130,9.0,13.0,22.0,0.5909090909090909,Duncan Robinson
1629162,1.0,1.0,2.0,0.5,Jordan McLaughlin
1629216,2.0,1.0,3.0,0.3333333333333333,Gabe Vincent
1629234,14.0,12.0,26.0,0.46153846153846156,Drew Eubanks
1629599,4.0,1.0,5.0,0.2,Amir Coffey
1629611,10.0,5.0,15.0,0.3333333333333333,Terance Mann
1629614,5.0,3.0,8.0,0.375,Andrew Nembhard
1629618,1.0,4.0,5.0,0.8,Jalen Pickett
1629627,16.0,18.0,34.0,0.5294117647058824,Zion Williamson
1629628,10.0,9.0,19.0,0.47368421052631576,RJ Barrett
