player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Mikal Bridges,bridgmi01,SF,NYK,82,82,2692,0,8,65,27,0,wing_big_percent,92,6,6,209,78,wing,4.7,3.3,8,0.143,1.3,1.4,2.7,3.2,TRUE
Miles Bridges,bridgmi02,PF,CHO,77,77,2387,0,0,3,95,2,wing_big_percent,98,6,7,225,79,wing,4,2.5,6.5,0.13,1.2,-0.1,1.1,1.9,FALSE
Dillon Brooks,brookdi01,SF,PHO,56,56,1702,0,0,7,91,2,wing_big_percent,98,6,7,225,79,wing,0.4,1.6,2.1,0.058,-1,-1.3,-2.3,-0.1,FALSE
Johni Broome,broomjo01,C,PHI,11,0,55,0,0,0,2,99,big_percent,101,6,10,235,82,big,-0.3,0.1,-0.2,-0.212,-11.9,-4.4,-16.2,-0.2,FALSE
Bruce Brown,brownbr01,SG,DEN,82,4,1998,31,64,5,0,0,guard_percent,95,6,4,202,76,guard,1.2,1.8,2.9,0.071,-2.5,0.1,-2.4,-0.2,FALSE
Darius Brown II,brownda04,SG,CLE,1,0,3,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing,0,0,0,-0.269,-16.3,-2.4,-18.7,0,FALSE
Jaylen Brown,brownja02,SF,BOS,71,71,2443,0,13,64,23,0,wing_big_percent,87,6,6,223,78,wing,3.5,3.4,6.9,0.135,3.5,-0.1,3.3,3.3,TRUE
Kobe Brown,brownko01,PF,IND,27,10,668,0,0,32,65,3,wing_big_percent,97,6,7,250,79,wing,0.6,0.3,1,0.07,-1.2,-1.6,-2.8,-0.1,FALSE
Kobe Brown,brownko01,PF,LAC,34,0,295,0,0,8,84,8,big_percent,92,6,7,250,79,big,0.1,0.2,0.3,0.056,-1.2,-1.1,-2.3,0,FALSE
Kobe Brown,brownko01,PF,LAC,34,0,295,0,0,8,84,8,wing_big_percent,92,6,7,250,79,wing,0.1,0.2,0.3,0.056,-1.2,-1.1,-2.3,0,FALSE
Jalen Brunson,brunsja01,PG,NYK,74,74,2590,96,4,0,0,0,guard_percent,100,6,2,190,74,guard,6.5,2.2,8.8,0.163,4,-0.9,3.1,3.3,TRUE
Carter Bryant,bryanca01,PF,SAS,71,0,818,0,1,41,53,5,wing_big_percent,94,6,6,220,78,wing,0.1,1.2,1.3,0.076,-3.1,0.2,-3,-0.2,FALSE
Thomas Bryant,bryanth01,C,CLE,60,1,732,0,0,0,0,100,big_percent,100,6,9,248,81,big,1.4,0.9,2.3,0.153,0.8,-0.7,0.1,0.4,FALSE
Kobe Bufkin,bufkiko01,SG,LAL,16,1,119,36,49,15,0,0,guard_percent,85,NA,NA,NA,NA,guard,-0.2,0.1,-0.1,-0.056,-6.2,-3.2,-9.4,-0.2,FALSE
Tyler Burton,burtoty01,SF,MEM,12,0,307,0,0,28,48,25,wing_big_percent,76,NA,NA,NA,NA,wing,-0.1,0.2,0.1,0.023,-3.4,-1.9,-5.3,-0.3,FALSE
Jimmy Butler,butleji01,SF,GSW,38,38,1182,0,6,39,54,0,wing_big_percent,93,6,6,230,78,wing,4.6,1.1,5.7,0.233,5,0.5,5.5,2.3,TRUE
Matas Buzelis,buzelma01,PF,CHI,77,77,2248,0,0,12,80,8,wing_big_percent,92,6,8,209,80,wing,0.4,2.1,2.6,0.055,-0.6,-0.4,-1,0.5,FALSE
Jamal Cain,cainja01,SF,ORL,40,1,486,0,46,49,4,0,wing_small_percent,95,6,7,191,79,wing,0.8,0.4,1.2,0.116,-0.4,-1,-1.4,0.1,FALSE
Kentavious Caldwell-Pope,caldwke01,SG,MEM,51,14,1088,3,76,19,2,0,wing_small_percent,95,6,5,204,77,wing,0.2,0.5,0.7,0.032,-2.3,-0.2,-2.5,-0.1,FALSE
Toumani Camara,camarto01,PF,POR,82,82,2731,0,0,2,84,14,big_percent,98,6,7,230,79,big,2.1,2.7,4.8,0.084,-1,0,-1,0.7,FALSE
Clint Capela,capelca01,C,HOU,75,3,926,0,0,0,13,87,big_percent,100,6,10,256,82,big,1.3,1.7,3,0.156,-0.5,0.9,0.4,0.6,FALSE
Dylan Cardwell,cardwdy01,C,SAC,44,1,907,0,0,0,26,74,big_percent,100,6,10,255,82,big,1.4,0.9,2.3,0.122,-2.5,0.6,-1.9,0,FALSE
Branden Carlson,carlsbr01,C,OKC,42,4,488,0,0,0,1,99,big_percent,100,7,0,220,84,big,0.8,1,1.7,0.171,0.5,0.3,0.8,0.4,FALSE
Bub Carrington,carrica01,PG,WAS,82,48,2271,87,13,0,0,0,guard_percent,100,6,4,190,76,guard,-0.3,-0.1,-0.4,-0.009,-2.2,-2.5,-4.7,-1.6,FALSE
Devin Carter,cartede02,PG,SAC,38,12,700,95,5,0,0,0,guard_percent,100,6,2,195,74,guard,-0.2,0.4,0.2,0.012,-1.5,-1.2,-2.6,-0.1,FALSE
Jevon Carter,carteje01,PG,CHI,23,0,254,79,21,0,0,0,guard_percent,100,6,0,200,72,guard,0.1,0.2,0.3,0.058,-0.7,-0.3,-1,0.1,FALSE
Jevon Carter,carteje01,PG,ORL,30,1,613,100,0,0,0,0,guard_percent,100,6,0,200,72,guard,0,0.7,0.6,0.05,-1.7,0.6,-1.1,0.1,FALSE
Wendell Carter Jr.,cartewe01,C,ORL,78,78,2288,0,0,0,0,100,big_percent,100,6,10,270,82,big,3.4,2.8,6.2,0.131,-1,0.5,-0.6,0.8,FALSE
