id,player,jump_balls_participated,wins,losses,win_percent,jump_balls_participated_percentile,win_percent_percentile,avg_percentiles
1631094,Paolo Banchero,9,8,1,0.8888888888888888,0.4717948717948718,0.9794871794871794,0.7256410256410256
1631095,Jabari Smith Jr.,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1631096,Chet Holmgren,82,40,42,0.4878048780487805,0.9435897435897436,0.517948717948718,0.7307692307692308
1631097,Bennedict Mathurin,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
1631101,Shaedon Sharpe,5,2,3,0.4,0,0.3282051282051282,0.1641025641025641
1631105,Jalen Duren,84,39,45,0.4642857142857143,0.958974358974359,0.48717948717948717,0.7230769230769231
1631109,Mark Williams,67,51,16,0.7611940298507462,0.9230769230769231,0.9230769230769231,0.9230769230769231
1631117,Walker Kessler,7,7,0,1,0.26153846153846155,0.9948717948717949,0.6282051282051282
1631119,Jaylin Williams,16,6,10,0.375,0.676923076923077,0.28205128205128205,0.4794871794871795
1631131,Oscar Tshiebwe,6,5,1,0.8333333333333334,0.16923076923076924,0.958974358974359,0.5641025641025641
1631132,Christian Koloko,8,2,6,0.25,0.358974358974359,0.17435897435897435,0.26666666666666666
1631157,Ryan Rollins,13,4,9,0.3076923076923077,0.6153846153846154,0.2153846153846154,0.4153846153846154
1631159,Leonard Miller,7,6,1,0.8571428571428571,0.26153846153846155,0.9743589743589743,0.617948717948718
1631170,Jaime Jaquez Jr.,11,5,6,0.45454545454545453,0.558974358974359,0.46153846153846156,0.5102564102564102
1631200,Kris Murray,8,6,2,0.75,0.358974358974359,0.9128205128205128,0.6358974358974359
1631217,Moussa Diabaté,69,31,38,0.4492753623188406,0.9282051282051282,0.4564102564102564,0.6923076923076923
1631218,Trayce Jackson-Davis,6,1,5,0.16666666666666666,0.16923076923076924,0.07179487179487179,0.12051282051282051
1631222,Jake LaRavia,12,3,9,0.25,0.5794871794871795,0.17435897435897435,0.3769230769230769
1631230,Dominick Barlow,25,9,16,0.36,0.7692307692307693,0.26666666666666666,0.517948717948718
1631243,Mouhamed Gueye,13,7,6,0.5384615384615384,0.6153846153846154,0.6307692307692307,0.6230769230769231
1631245,Quenton Jackson,5,0,5,0,0,0,0
1631323,Simone Fontecchio,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1641705,Victor Wembanyama,72,64,8,0.8888888888888888,0.9333333333333333,0.9794871794871794,0.9564102564102563
1641707,Taylor Hendricks,8,2,6,0.25,0.358974358974359,0.17435897435897435,0.26666666666666666
1641708,Amen Thompson,19,12,7,0.631578947368421,0.7333333333333333,0.8153846153846154,0.7743589743589743
1641709,Ausar Thompson,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1641710,Anthony Black,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1641711,Gradey Dick,5,4,1,0.8,0,0.9333333333333333,0.4666666666666667
1641713,GG Jackson,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1641716,Jarace Walker,5,2,3,0.4,0,0.3282051282051282,0.1641025641025641
1641717,Cason Wallace,11,5,6,0.45454545454545453,0.558974358974359,0.46153846153846156,0.5102564102564102
1641718,Keyonte George,5,2,3,0.4,0,0.3282051282051282,0.1641025641025641
1641730,Noah Clowney,10,5,5,0.5,0.517948717948718,0.5282051282051282,0.5230769230769231
1641737,Adem Bona,32,11,21,0.34375,0.8051282051282052,0.2564102564102564,0.5307692307692308
1641738,Kobe Brown,8,1,7,0.125,0.358974358974359,0.041025641025641026,0.2
1641739,Toumani Camara,10,5,5,0.5,0.517948717948718,0.5282051282051282,0.5230769230769231
1641744,Zach Edey,16,13,3,0.8125,0.676923076923077,0.9538461538461539,0.8153846153846154
1641747,DaRon Holmes II,8,2,6,0.25,0.358974358974359,0.17435897435897435,0.26666666666666666
1641750,Ryan Kalkbrenner,46,22,24,0.4782608695652174,0.8461538461538461,0.5076923076923077,0.676923076923077
1641764,Brandin Podziemski,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1641765,Olivier-Maxence Prosper,23,1,22,0.043478260869565216,0.7538461538461538,0.020512820512820513,0.3871794871794872
1641772,Nae'Qwan Tomlin,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1641774,Tristan Vukcevic,12,1,11,0.08333333333333333,0.5794871794871795,0.02564102564102564,0.3025641025641026
1641775,Jordan Walsh,10,6,4,0.6,0.517948717948718,0.7128205128205128,0.6153846153846154
1641796,Pelle Larsson,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1641824,Matas Buzelis,21,13,8,0.6190476190476191,0.7435897435897436,0.7743589743589744,0.7589743589743589
1641842,Ronald Holland II,9,8,1,0.8888888888888888,0.4717948717948718,0.9794871794871794,0.7256410256410256
1642258,Zaccharie Risacher,7,3,4,0.42857142857142855,0.26153846153846155,0.38461538461538464,0.3230769230769231
1642259,Alex Sarr,61,27,34,0.4426229508196721,0.9025641025641026,0.42564102564102563,0.6641025641025641
1642262,Cody Williams,7,0,7,0,0.26153846153846155,0,0.13076923076923078
1642264,Stephon Castle,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
1642266,Ja'Kobe Walter,8,2,6,0.25,0.358974358974359,0.17435897435897435,0.26666666666666666
1642268,Isaiah Collier,8,3,5,0.375,0.358974358974359,0.28205128205128205,0.3205128205128205
1642270,Donovan Clingan,97,53,44,0.5463917525773195,0.9948717948717949,0.6410256410256411,0.8179487179487179
1642271,Kyle Filipowski,39,16,23,0.41025641025641024,0.8307692307692308,0.36923076923076925,0.6000000000000001
1642273,Kyshawn George,9,4,5,0.4444444444444444,0.4717948717948718,0.4307692307692308,0.4512820512820513
1642274,Yves Missi,24,9,15,0.375,0.764102564102564,0.28205128205128205,0.523076923076923
1642276,Kel'el Ware,40,23,17,0.575,0.8358974358974359,0.6974358974358974,0.7666666666666666
1642281,Jaylon Tyson,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1642345,Oso Ighodaro,36,21,15,0.5833333333333334,0.8205128205128205,0.7076923076923077,0.764102564102564
1642366,Quinten Post,37,18,19,0.4864864864864865,0.8256410256410256,0.5128205128205128,0.6692307692307692
1642845,VJ Edgecombe,18,8,10,0.4444444444444444,0.717948717948718,0.4307692307692308,0.5743589743589743
1642846,Ace Bailey,9,4,5,0.4444444444444444,0.4717948717948718,0.4307692307692308,0.4512820512820513
1642847,Jeremiah Fears,8,2,6,0.25,0.358974358974359,0.17435897435897435,0.26666666666666666
1642849,Nolan Traore,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1642851,Kon Knueppel,8,1,7,0.125,0.358974358974359,0.041025641025641026,0.2
1642852,Derik Queen,46,10,36,0.21739130434782608,0.8461538461538461,0.15897435897435896,0.5025641025641026
1642863,Khaman Maluach,6,4,2,0.6666666666666666,0.16923076923076924,0.841025641025641,0.5051282051282051
1642866,Joan Beringer,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1642867,Collin Murray-Boyles,16,7,9,0.4375,0.676923076923077,0.4153846153846154,0.5461538461538462
1642875,Maxime Raynaud,64,40,24,0.625,0.9128205128205128,0.7846153846153846,0.8487179487179487
1642877,Micah Peavy,8,1,7,0.125,0.358974358974359,0.041025641025641026,0.2
1642882,Julian Reese,12,4,8,0.3333333333333333,0.5794871794871795,0.22564102564102564,0.4025641025641026
1642883,Sion James,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
1642920,Kobe Sanders,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1642928,Dylan Cardwell,8,1,7,0.125,0.358974358974359,0.041025641025641026,0.2
1642949,Yanic Konan Niederhäuser,5,5,0,1,0,0.9948717948717949,0.49743589743589745
201143,Al Horford,18,12,6,0.6666666666666666,0.717948717948718,0.841025641025641,0.7794871794871795
201572,Brook Lopez,55,26,29,0.4727272727272727,0.8871794871794871,0.5025641025641026,0.6948717948717948
201599,DeAndre Jordan,7,3,4,0.42857142857142855,0.26153846153846155,0.38461538461538464,0.3230769230769231
201942,DeMar DeRozan,8,3,5,0.375,0.358974358974359,0.28205128205128205,0.3205128205128205
202685,Jonas Valančiūnas,11,7,4,0.6363636363636364,0.558974358974359,0.8205128205128205,0.6897435897435897
202695,Kawhi Leonard,8,3,5,0.375,0.358974358974359,0.28205128205128205,0.3205128205128205
202696,Nikola Vučević,53,19,34,0.3584905660377358,0.8717948717948718,0.26153846153846155,0.5666666666666667
202699,Tobias Harris,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
203076,Anthony Davis,17,9,8,0.5294117647058824,0.7025641025641025,0.6153846153846154,0.658974358974359
203083,Andre Drummond,31,23,8,0.7419354838709677,0.8,0.9076923076923077,0.8538461538461539
203110,Draymond Green,35,13,22,0.37142857142857144,0.8153846153846154,0.27692307692307694,0.5461538461538462
203497,Rudy Gobert,84,45,39,0.5357142857142857,0.958974358974359,0.6256410256410256,0.7923076923076924
203500,Steven Adams,23,13,10,0.5652173913043478,0.7538461538461538,0.6512820512820513,0.7025641025641025
203507,Giannis Antetokounmpo,10,7,3,0.7,0.517948717948718,0.8871794871794871,0.7025641025641025
203924,Jerami Grant,14,7,7,0.5,0.6461538461538462,0.5282051282051282,0.5871794871794872
203932,Aaron Gordon,6,5,1,0.8333333333333334,0.16923076923076924,0.958974358974359,0.5641025641025641
203939,Dwight Powell,16,7,9,0.4375,0.676923076923077,0.4153846153846154,0.5461538461538462
203944,Julius Randle,15,11,4,0.7333333333333333,0.6512820512820513,0.9025641025641026,0.7769230769230769
203952,Andrew Wiggins,10,7,3,0.7,0.517948717948718,0.8871794871794871,0.7025641025641025
203954,Joel Embiid,32,17,15,0.53125,0.8051282051282052,0.6205128205128205,0.7128205128205128
203991,Clint Capela,12,6,6,0.5,0.5794871794871795,0.5282051282051282,0.5538461538461539
203994,Jusuf Nurkić,47,32,15,0.6808510638297872,0.8564102564102564,0.8769230769230769,0.8666666666666667
203999,Nikola Jokić,83,48,35,0.5783132530120482,0.9538461538461539,0.7025641025641025,0.8282051282051281
204001,Kristaps Porziņģis,29,19,10,0.6551724137931034,0.7846153846153846,0.8307692307692308,0.8076923076923077
204456,T.J. McConnell,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
2544,LeBron James,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
