player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Collin Sexton,PJ Hall,CHA,3,0,3,0,0,0,3,0,3
Dalton Knecht,Maxi Kleber,LAL,0,3,0,2,0,1,3,0,3
Isaiah Stewart,Marcus Sasser,DET,0,3,0,1,0,2,3,0,3
Jock Landale,Olivier-Maxence Prosper,MEM,0,3,0,2,0,1,3,0,3
Kevin Porter Jr.,Taurean Prince,MIL,3,0,1,0,2,0,3,0,3
Jaylin Williams,Nikola Topić,OKC,0,3,0,1,0,2,3,0,3
Dylan Cardwell,Killian Hayes,SAC,0,3,0,3,0,0,3,0,3
Caleb Martin,Tyus Jones,DAL,0,3,0,2,0,1,3,0,3
Andersson Garcia,Cody Williams,UTA,3,0,2,0,1,0,3,0,3
Kyle Anderson,Svi Mykhailiuk,UTA,3,0,2,0,1,0,3,0,3
Jalen Slawson,T.J. McConnell,IND,0,3,0,1,0,2,3,0,3
Chaz Lanier,Marcus Sasser,DET,0,3,0,3,0,0,3,0,3
Asa Newell,Corey Kispert,ATL,3,0,2,0,1,0,3,0,3
Donte DiVincenzo,Terrence Shannon Jr.,MIN,3,0,2,0,1,0,3,0,3
Amari Williams,Derrick White,BOS,0,3,0,3,0,0,3,0,3
Haywood Highsmith,Rasheer Fleming,PHX,3,0,0,0,3,0,3,0,3
AJ Johnson,Max Christie,DAL,3,0,2,0,1,0,3,0,3
Marcus Smart,Maxi Kleber,LAL,0,3,0,1,0,2,3,0,3
Darius Garland,Thomas Bryant,CLE,3,0,0,0,3,0,3,0,3
Craig Porter Jr.,Tristan Enaruna,CLE,3,0,2,0,1,0,3,0,3
Kevon Looney,Zion Williamson,NOP,3,0,3,0,0,0,3,0,3
Malaki Branham,Sharife Cooper,WAS,0,3,0,0,0,3,3,0,3
Christian Koloko,Luke Kennard,ATL,0,3,0,3,0,0,3,0,3
Markelle Fultz,Sandro Mamukelashvili,TOR,3,0,0,0,3,0,3,0,3
Aaron Holiday,Steven Adams,HOU,0,3,0,0,0,3,3,0,3
Justin Edwards,Kelly Oubre Jr.,PHI,3,0,2,0,1,0,3,0,3
Quinten Post,Trayce Jackson-Davis,GSW,0,3,0,1,0,2,3,0,3
Collin Sexton,Grant Williams,CHA,0,3,0,0,0,3,3,0,3
Adem Bona,Jared McCain,PHI,0,3,0,2,0,1,3,0,3
Keldon Johnson,Lindy Waters III,SAS,0,3,0,2,0,1,3,0,3
Josh Minott,Terance Mann,BKN,0,3,0,2,0,1,3,0,3
Ryan Nembhard,Tyler Smith,DAL,3,0,2,0,1,0,3,0,3
Josh Minott,Nic Claxton,BKN,0,3,0,0,0,3,3,0,3
Kam Jones,T.J. McConnell,IND,0,3,0,3,0,0,3,0,3
Sam Merrill,Thomas Bryant,CLE,3,0,3,0,0,0,3,0,3
Gary Harris,Pete Nance,MIL,3,0,0,0,3,0,3,0,3
Javon Small,Jock Landale,MEM,3,0,1,0,2,0,3,0,3
Jaren Jackson Jr.,Vince Williams Jr.,UTA,0,3,0,1,0,2,3,0,3
Joan Beringer,Naz Reid,MIN,0,3,0,3,0,0,3,0,3
Alondes Williams,Jaden Hardy,WAS,3,0,0,0,3,0,3,0,3
Aaron Nesmith,Ivica Zubac,IND,0,3,0,2,0,1,3,0,3
Miles McBride,Mohamed Diawara,NYK,0,3,0,0,0,3,3,0,3
Miles McBride,Mitchell Robinson,NYK,0,3,0,1,0,2,3,0,3
Guerschon Yabusele,Josh Hart,NYK,0,3,0,1,0,2,3,0,3
Cam Thomas,Myles Turner,MIL,3,0,1,0,2,0,3,0,3
Anthony Gill,Malaki Branham,WAS,0,3,0,1,0,2,3,0,3
KJ Simpson,Tre Mann,CHA,0,3,0,1,0,2,3,0,3
Rocco Zikarsky,Terrence Shannon Jr.,MIN,0,3,0,3,0,0,3,0,3
Blake Hinson,Kennedy Chandler,UTA,0,3,0,2,0,1,3,0,3
Kobe Brown,Taelon Peter,IND,3,0,1,0,2,0,3,0,3
Jaden Hardy,Leaky Black,WAS,0,3,0,1,0,2,3,0,3
Sam Merrill,Tyrese Proctor,CLE,3,0,1,0,2,0,3,0,3
Khaman Maluach,Koby Brea,PHX,0,3,0,3,0,0,3,0,3
AJ Green,Cam Thomas,MIL,0,3,0,0,0,3,3,0,3
Cole Anthony,Thanasis Antetokounmpo,MIL,3,0,3,0,0,0,3,0,3
Dalen Terry,Julian Phillips,CHI,3,0,3,0,0,0,3,0,3
Kyle Anderson,Ty Jerome,MEM,0,3,0,3,0,0,3,0,3
Dillon Brooks,Jalen Green,PHX,0,3,0,1,0,2,3,0,3
Jayson Kent,Matisse Thybulle,POR,0,3,0,2,0,1,3,0,3
TyTy Washington Jr.,Yanic Konan Niederhäuser,LAC,3,0,3,0,0,0,3,0,3
Ben Sheppard,Garrison Mathews,IND,3,0,0,0,3,0,3,0,3
Jae'Sean Tate,Jeff Green,HOU,3,0,1,0,2,0,3,0,3
Norchad Omier,Sean Pedulla,LAC,0,3,0,3,0,0,3,0,3
Jahmai Mashack,Toby Okani,MEM,3,0,1,0,2,0,3,0,3
T.J. McConnell,Tony Bradley,IND,3,0,3,0,0,0,3,0,3
Corey Kispert,Tristan Vukcevic,WAS,3,0,2,0,1,0,3,0,3
Chris Paul,Kobe Brown,LAC,3,0,0,0,3,0,3,0,3
John Poulakidas,Ryan Nembhard,DAL,0,3,0,1,0,2,3,0,3
Isaiah Jackson,Quenton Jackson,IND,0,3,0,3,0,0,3,0,3
Mason Plumlee,Miles Bridges,CHA,3,0,1,0,2,0,3,0,3
Austin Reaves,Nick Smith Jr.,LAL,3,0,1,0,2,0,3,0,3
Anthony Black,Moritz Wagner,ORL,3,0,2,0,1,0,3,0,3
Devin Vassell,Kelly Olynyk,SAS,3,0,1,0,2,0,3,0,3
Chris Paul,Ivica Zubac,LAC,3,0,3,0,0,0,3,0,3
Harrison Barnes,Jordan McLaughlin,SAS,0,3,0,2,0,1,3,0,3
Micah Peavy,Trey Alexander,NOP,0,3,0,1,0,2,3,0,3
Ajay Mitchell,Jared McCain,OKC,3,0,1,0,2,0,3,0,3
E.J. Liddell,Ochai Agbaji,BKN,3,0,2,0,1,0,3,0,3
Julian Phillips,Terrence Shannon Jr.,MIN,0,3,0,0,0,3,3,0,3
Adou Thiero,Nick Smith Jr.,LAL,3,0,1,0,2,0,3,0,3
Amari Williams,Hugo González,BOS,3,0,1,0,2,0,3,0,3
Guerschon Yabusele,Mikal Bridges,NYK,0,3,0,0,0,3,3,0,3
Jayson Tatum,Jordan Walsh,BOS,3,0,3,0,0,0,3,0,3
Rayan Rupert,Toby Okani,MEM,3,0,2,0,1,0,3,0,3
Derrick White,Ron Harper Jr.,BOS,3,0,0,0,3,0,3,0,3
Elijah Harkless,Kyle Filipowski,UTA,3,0,0,0,3,0,3,0,3
Sharife Cooper,Skal Labissiere,WAS,2,0,1,0,1,0,2,0,2
Adem Bona,Joel Embiid,PHI,0,2,0,2,0,0,2,0,2
Drew Timme,Jarred Vanderbilt,LAL,0,2,0,2,0,0,2,0,2
Gary Payton II,Omer Yurtseven,GSW,0,2,0,1,0,1,2,0,2
Svi Mykhailiuk,Walker Kessler,UTA,0,2,0,0,0,2,2,0,2
Anthony Black,Jamal Cain,ORL,2,0,1,0,1,0,2,0,2
Andersson Garcia,Oscar Tshiebwe,UTA,2,0,2,0,0,0,2,0,2
Malachi Smith,Ochai Agbaji,BKN,2,0,2,0,0,0,2,0,2
Jeremy Sochan,Landry Shamet,NYK,2,0,1,0,1,0,2,0,2
Eric Gordon,Kyle Lowry,PHI,0,2,0,0,0,2,2,0,2
De'Anthony Melton,Malevy Leons,GSW,0,2,0,0,0,2,2,0,2
Christian Koloko,Kentavious Caldwell-Pope,MEM,2,0,1,0,1,0,2,0,2
Drew Timme,Kobe Bufkin,LAL,2,0,2,0,0,0,2,0,2
Trey Jemison III,Tyler Kolek,NYK,0,2,0,2,0,0,2,0,2
Jaylen Clark,Rob Dillingham,MIN,0,2,0,1,0,1,2,0,2
Jamaree Bouyea,Nigel Hayes-Davis,PHX,2,0,1,0,1,0,2,0,2
James Harden,Kobe Brown,LAC,2,0,2,0,0,0,2,0,2
Charles Bassey,Max Shulga,BOS,0,2,0,2,0,0,2,0,2
Liam McNeeley,Ryan Kalkbrenner,CHA,2,0,2,0,0,0,2,0,2
A.J. Lawson,Jakob Poeltl,TOR,0,2,0,1,0,1,2,0,2
Luka Dončić,Nick Smith Jr.,LAL,2,0,0,0,2,0,2,0,2
Amir Coffey,Andre Jackson Jr.,MIL,0,2,0,0,0,2,2,0,2
Amir Coffey,Ryan Dunn,PHX,0,2,0,2,0,0,2,0,2
Jordan Miller,Norchad Omier,LAC,2,0,2,0,0,0,2,0,2
Brandon Miller,PJ Hall,CHA,2,0,2,0,0,0,2,0,2
Bobi Klintman,Caris LeVert,DET,0,2,0,1,0,1,2,0,2
Cam Spencer,Kyle Anderson,MEM,2,0,1,0,1,0,2,0,2
Kevin Huerter,Lachlan Olbrich,CHI,0,2,0,1,0,1,2,0,2
Isaiah Collier,Oscar Tshiebwe,UTA,2,0,2,0,0,0,2,0,2
Coby White,Pat Connaughton,CHA,2,0,0,0,2,0,2,0,2
Mac McClung,RayJ Dennis,IND,0,2,0,1,0,1,2,0,2
Jaylen Clark,Rudy Gobert,MIN,0,2,0,1,0,1,2,0,2
Dylan Cardwell,Zach LaVine,SAC,2,0,0,0,2,0,2,0,2
Naji Marshall,Tyus Jones,DAL,0,2,0,1,0,1,2,0,2
Aaron Holiday,Clint Capela,HOU,2,0,2,0,0,0,2,0,2
Jamir Watkins,Marvin Bagley III,WAS,0,2,0,1,0,1,2,0,2
Day'Ron Sharpe,Josh Minott,BKN,2,0,1,0,1,0,2,0,2
Doug McDermott,Isaiah Stevens,SAC,0,2,0,0,0,2,2,0,2
Jonathan Isaac,Moritz Wagner,ORL,2,0,2,0,0,0,2,0,2
Kobe Sanders,Norchad Omier,LAC,0,2,0,1,0,1,2,0,2
Santi Aldama,Ty Jerome,MEM,0,2,0,1,0,1,2,0,2
Malevy Leons,Seth Curry,GSW,2,0,1,0,1,0,2,0,2
Jaden Hardy,Klay Thompson,DAL,0,2,0,2,0,0,2,0,2
Pat Connaughton,PJ Hall,CHA,2,0,2,0,0,0,2,0,2
Julian Phillips,Patrick Williams,CHI,0,2,0,0,0,2,2,0,2
Draymond Green,Seth Curry,GSW,2,0,1,0,1,0,2,0,2
John Poulakidas,Marvin Bagley III,DAL,2,0,1,0,1,0,2,0,2
Andersson Garcia,Bez Mbeng,UTA,0,2,0,1,0,1,2,0,2
Chris Youngblood,Jaylin Williams,OKC,0,2,0,1,0,1,2,0,2
Nate Williams,Quinten Post,GSW,0,2,0,1,0,1,2,0,2
Keyonte George,Oscar Tshiebwe,UTA,2,0,2,0,0,0,2,0,2
Amari Williams,Anfernee Simons,BOS,2,0,0,0,2,0,2,0,2
Franz Wagner,Moritz Wagner,ORL,2,0,0,0,2,0,2,0,2
Jordan McLaughlin,Luke Kornet,SAS,0,2,0,1,0,1,2,0,2
Hunter Tyson,Julian Strawther,DEN,0,2,0,0,0,2,2,0,2
Kevin Love,Vince Williams Jr.,UTA,0,2,0,0,0,2,2,0,2
Khris Middleton,Will Riley,WAS,2,0,1,0,1,0,2,0,2
Eric Gordon,VJ Edgecombe,PHI,0,2,0,0,0,2,2,0,2
Jonathan Mogbo,Markelle Fultz,TOR,0,2,0,2,0,0,2,0,2
Derrick Jones Jr.,Yanic Konan Niederhäuser,LAC,2,0,2,0,0,0,2,0,2
Jabari Walker,Paul George,PHI,0,2,0,0,0,2,2,0,2
Josh Green,KJ Simpson,CHA,0,2,0,0,0,2,2,0,2
Darius Garland,Yanic Konan Niederhäuser,LAC,2,0,2,0,0,0,2,0,2
Cedric Coward,Jahmai Mashack,MEM,2,0,1,0,1,0,2,0,2
Jonathan Mogbo,Trayce Jackson-Davis,TOR,2,0,2,0,0,0,2,0,2
Jeremiah Robinson-Earl,Ryan Nembhard,DAL,0,2,0,1,0,1,2,0,2
Duop Reath,Sidy Cissoko,POR,0,2,0,0,0,2,2,0,2
AJ Johnson,Dwight Powell,DAL,2,0,2,0,0,0,2,0,2
Chris Livingston,Thomas Bryant,CLE,0,2,0,2,0,0,2,0,2
Corey Kispert,Vít Krejčí,ATL,0,2,0,1,0,1,2,0,2
DaQuan Jeffries,Malik Monk,SAC,0,2,0,2,0,0,2,0,2
Jahmai Mashack,Lucas Williamson,MEM,2,0,1,0,1,0,2,0,2
Ethan Thompson,Kobe Brown,IND,2,0,2,0,0,0,2,0,2
Bryce McGowens,Dejounte Murray,NOP,0,2,0,2,0,0,2,0,2
KJ Simpson,Tidjane Salaün,CHA,2,0,1,0,1,0,2,0,2
Kevon Looney,Micah Peavy,NOP,2,0,1,0,1,0,2,0,2
Jaden Hardy,P.J. Washington,DAL,0,2,0,0,0,2,2,0,2
Chaz Lanier,Javonte Green,DET,2,0,1,0,1,0,2,0,2
Jevon Carter,Noah Penda,ORL,0,2,0,1,0,1,2,0,2
Adou Thiero,Dalton Knecht,LAL,2,0,0,0,2,0,2,0,2
Garrison Mathews,Tony Bradley,IND,2,0,2,0,0,0,2,0,2
Khaman Maluach,Royce O'Neale,PHX,0,2,0,2,0,0,2,0,2
Bennedict Mathurin,TyTy Washington Jr.,LAC,0,2,0,2,0,0,2,0,2
Jamison Battle,RJ Barrett,TOR,0,2,0,1,0,1,2,0,2
Herbert Jones,Jordan Hawkins,NOP,2,0,1,0,1,0,2,0,2
Asa Newell,Caleb Houstan,ATL,2,0,1,0,1,0,2,0,2
Craig Porter Jr.,James Harden,CLE,0,2,0,1,0,1,2,0,2
Amir Coffey,Oso Ighodaro,PHX,0,2,0,2,0,0,2,0,2
Isaiah Jackson,RayJ Dennis,IND,2,0,1,0,1,0,2,0,2
Bradley Beal,Kris Dunn,LAC,0,2,0,1,0,1,2,0,2
Keshad Johnson,Vladislav Goldin,MIA,0,2,0,2,0,0,2,0,2
Amir Coffey,Jericho Sims,MIL,0,2,0,2,0,0,2,0,2
Bobi Klintman,Tolu Smith,DET,0,2,0,1,0,1,2,0,2
DaQuan Jeffries,Devin Carter,SAC,0,2,0,1,0,1,2,0,2
Alondes Williams,Bilal Coulibaly,WAS,0,2,0,1,0,1,2,0,2
Charles Bassey,Pat Spencer,GSW,0,2,0,2,0,0,2,0,2
Cody Williams,Kyle Anderson,UTA,0,2,0,1,0,1,2,0,2
Rasheer Fleming,Royce O'Neale,PHX,0,2,0,2,0,0,2,0,2
Jarrett Allen,Max Strus,CLE,0,2,0,2,0,0,2,0,2
Chaney Johnson,E.J. Liddell,BKN,0,2,0,1,0,1,2,0,2
Jalen Smith,Zach Collins,CHI,2,0,2,0,0,0,2,0,2
Anthony Gill,Kyshawn George,WAS,2,0,2,0,0,0,2,0,2
Luke Kennard,Nick Smith Jr.,LAL,2,0,0,0,2,0,2,0,2
Bennedict Mathurin,Cam Christie,LAC,0,2,0,1,0,1,2,0,2
CJ McCollum,Malaki Branham,WAS,0,2,0,1,0,1,2,0,2
Blake Hinson,Kevin Love,UTA,2,0,0,0,2,0,2,0,2
Jonathan Mogbo,Sandro Mamukelashvili,TOR,0,2,0,2,0,0,2,0,2
Devin Carter,Killian Hayes,SAC,0,2,0,2,0,0,2,0,2
David Jones Garcia,Kelly Olynyk,SAS,2,0,2,0,0,0,2,0,2
D'Angelo Russell,Miles Kelly,DAL,2,0,2,0,0,0,2,0,2
Grayson Allen,Nigel Hayes-Davis,PHX,0,2,0,0,0,2,2,0,2
Kyle Anderson,Terrence Shannon Jr.,MIN,2,0,2,0,0,0,2,0,2
Kon Knueppel,Xavier Tillman,CHA,0,2,0,0,0,2,2,0,2
DeAndre Jordan,Saddiq Bey,NOP,2,0,1,0,1,0,2,0,2
Aaron Gordon,Julian Strawther,DEN,2,0,0,0,2,0,2,0,2
Lucas Williamson,Olivier-Maxence Prosper,MEM,2,0,1,0,1,0,2,0,2
Drew Timme,Maxi Kleber,LAL,2,0,2,0,0,0,2,0,2
Cam Christie,Kawhi Leonard,LAC,2,0,0,0,2,0,2,0,2
Amir Coffey,Bobby Portis,MIL,2,0,2,0,0,0,2,0,2
Franz Wagner,Noah Penda,ORL,2,0,2,0,0,0,2,0,2
Kyle Filipowski,Walker Kessler,UTA,2,0,2,0,0,0,2,0,2
Jalen Williams,Ousmane Dieng,OKC,2,0,0,0,2,0,2,0,2
DeJon Jarreau,GG Jackson,MEM,2,0,2,0,0,0,2,0,2
Bones Hyland,Johnny Juzang,MIN,2,0,1,0,1,0,2,0,2
GG Jackson,Kyle Anderson,MEM,0,2,0,0,0,2,2,0,2
Antonio Reeves,KJ Simpson,CHA,0,2,0,1,0,1,2,0,2
Chaz Lanier,Wendell Moore Jr.,DET,0,2,0,0,0,2,2,0,2
Eric Gordon,Hunter Sallis,PHI,0,2,0,0,0,2,2,0,2
Joe Ingles,Zyon Pullin,MIN,0,2,0,1,0,1,2,0,2
James Wiseman,T.J. McConnell,IND,0,2,0,2,0,0,2,0,2
Coby White,Julian Phillips,CHI,2,0,0,0,2,0,2,0,2
Aaron Nesmith,RayJ Dennis,IND,0,2,0,2,0,0,2,0,2
Harrison Ingram,Jordan McLaughlin,SAS,0,2,0,2,0,0,2,0,2
Chaz Lanier,Jalen Duren,DET,2,0,2,0,0,0,2,0,2
Liam McNeeley,Mason Plumlee,CHA,0,2,0,0,0,2,2,0,2
Miles Kelly,Tyus Jones,DAL,2,0,0,0,2,0,2,0,2
Ousmane Dieng,Shai Gilgeous-Alexander,OKC,2,0,1,0,1,0,2,0,2
Alijah Martin,Gradey Dick,TOR,2,0,1,0,1,0,2,0,2
Jonas Valančiūnas,Nikola Jokić,DEN,0,2,0,2,0,0,2,0,2
Jerami Grant,Yang Hansen,POR,0,2,0,0,0,2,2,0,2
Landry Shamet,Mitchell Robinson,NYK,0,2,0,0,0,2,2,0,2
Jalen Slawson,Pascal Siakam,IND,2,0,2,0,0,0,2,0,2
Joe Ingles,Terrence Shannon Jr.,MIN,2,0,1,0,1,0,2,0,2
Franz Wagner,Jonathan Isaac,ORL,2,0,1,0,1,0,2,0,2
Amir Coffey,Koby Brea,PHX,2,0,0,0,2,0,2,0,2
Leonard Miller,Mac McClung,CHI,0,2,0,2,0,0,2,0,2
Danny Wolf,Josh Minott,BKN,2,0,1,0,1,0,2,0,2
Malachi Smith,Nolan Traore,BKN,2,0,1,0,1,0,2,0,2
Jordan Clarkson,Kevin McCullar Jr.,NYK,0,2,0,0,0,2,2,0,2
Carter Bryant,Julian Champagnie,SAS,0,2,0,0,0,2,2,0,2
Bennedict Mathurin,Quenton Jackson,IND,2,0,2,0,0,0,2,0,2
Ethan Thompson,Isaiah Jackson,IND,2,0,2,0,0,0,2,0,2
Kobe Sanders,Sean Pedulla,LAC,2,0,1,0,1,0,2,0,2
Alijah Martin,Sandro Mamukelashvili,TOR,0,2,0,2,0,0,2,0,2
DeJon Jarreau,Taj Gibson,MEM,2,0,1,0,1,0,2,0,2
Ronald Holland II,Wendell Moore Jr.,DET,0,2,0,1,0,1,2,0,2
Curtis Jones,Tim Hardaway Jr.,DEN,2,0,1,0,1,0,2,0,2
Leaky Black,Tre Johnson,WAS,0,2,0,1,0,1,2,0,2
JD Davison,Steven Adams,HOU,2,0,2,0,0,0,2,0,2
Bismack Biyombo,Kelly Olynyk,SAS,0,2,0,2,0,0,2,0,2
Jarace Walker,Monté Morris,IND,0,2,0,1,0,1,2,0,2
Bryce McGowens,Trey Alexander,NOP,2,0,1,0,1,0,2,0,2
Grant Williams,Moussa Diabaté,CHA,2,0,2,0,0,0,2,0,2
Gabe Vincent,Mouhamed Gueye,ATL,0,2,0,1,0,1,2,0,2
AJ Johnson,Jamir Watkins,WAS,2,0,1,0,1,0,2,0,2
Lindy Waters III,Stephon Castle,SAS,0,2,0,0,0,2,2,0,2
Jaylen Clark,Zyon Pullin,MIN,0,2,0,0,0,2,2,0,2
LJ Cryer,Nate Williams,GSW,2,0,1,0,1,0,2,0,2
Monté Morris,Tony Bradley,IND,2,0,2,0,0,0,2,0,2
Mohamed Diawara,Pacôme Dadiet,NYK,0,2,0,2,0,0,2,0,2
Keegan Murray,Nique Clifford,SAC,2,0,0,0,2,0,2,0,2
Jalen Brunson,Kevin McCullar Jr.,NYK,2,0,2,0,0,0,2,0,2
Andre Jackson Jr.,Cormac Ryan,MIL,2,0,0,0,2,0,2,0,2
Josh Green,Pat Connaughton,CHA,0,2,0,1,0,1,2,0,2
Corey Kispert,Justin Champagnie,WAS,0,2,0,2,0,0,2,0,2
Myron Gardner,Norman Powell,MIA,2,0,1,0,1,0,2,0,2
Keaton Wallace,RayJ Dennis,ATL,0,2,0,2,0,0,2,0,2
Nikola Jović,Tyler Herro,MIA,2,0,2,0,0,0,2,0,2
Anfernee Simons,Josh Giddey,CHI,0,2,0,1,0,1,2,0,2
Curtis Jones,Jalen Pickett,DEN,0,2,0,1,0,1,2,0,2
Justin Champagnie,Leaky Black,WAS,2,0,1,0,1,0,2,0,2
RayJ Dennis,Taelon Peter,IND,0,2,0,0,0,2,2,0,2
Anfernee Simons,Nick Richards,CHI,2,0,1,0,1,0,2,0,2
Bennedict Mathurin,RayJ Dennis,IND,0,2,0,2,0,0,2,0,2
Gary Trent Jr.,Thanasis Antetokounmpo,MIL,0,2,0,0,0,2,2,0,2
Danny Wolf,Tyson Etienne,BKN,2,0,0,0,2,0,2,0,2
Adama Bal,Cam Spencer,MEM,0,2,0,1,0,1,2,0,2
Bogdan Bogdanović,Kawhi Leonard,LAC,0,2,0,1,0,1,2,0,2
Drake Powell,Ochai Agbaji,BKN,2,0,1,0,1,0,2,0,2
Jevon Carter,Lachlan Olbrich,CHI,0,2,0,0,0,2,2,0,2
KJ Simpson,Tim Hardaway Jr.,DEN,2,0,1,0,1,0,2,0,2
Ace Bailey,Andersson Garcia,UTA,0,2,0,0,0,2,2,0,2
Duop Reath,Javonte Cooke,POR,0,2,0,2,0,0,2,0,2
Aaron Wiggins,Chris Youngblood,OKC,0,2,0,1,0,1,2,0,2
Asa Newell,RayJ Dennis,ATL,0,2,0,2,0,0,2,0,2
Chet Holmgren,Jared McCain,OKC,2,0,2,0,0,0,2,0,2
Ethan Thompson,Obi Toppin,IND,2,0,2,0,0,0,2,0,2
Antonio Reeves,Miles Bridges,CHA,0,2,0,0,0,2,2,0,2
Ja Morant,Olivier-Maxence Prosper,MEM,2,0,1,0,1,0,2,0,2
Jamir Watkins,Keshon Gilbert,WAS,0,2,0,1,0,1,2,0,2
Dalton Knecht,Drew Timme,LAL,2,0,1,0,1,0,2,0,2
Marcus Sasser,Tolu Smith,DET,0,2,0,0,0,2,2,0,2
Ben Sheppard,Tony Bradley,IND,2,0,2,0,0,0,2,0,2
Jaden McDaniels,Joe Ingles,MIN,0,2,0,2,0,0,2,0,2
MarJon Beauchamp,Tyrese Maxey,PHI,2,0,1,0,1,0,2,0,2
Kobe Sanders,Yanic Konan Niederhäuser,LAC,2,0,2,0,0,0,2,0,2
Lucas Williamson,Toby Okani,MEM,2,0,0,0,2,0,2,0,2
Isaiah Joe,Nikola Topić,OKC,2,0,0,0,2,0,2,0,2
Kyshawn George,Malaki Branham,WAS,2,0,1,0,1,0,2,0,2
Gary Trent Jr.,Ousmane Dieng,MIL,0,2,0,2,0,0,2,0,2
Pat Spencer,Stephen Curry,GSW,0,2,0,0,0,2,2,0,2
Isaiah Collier,Mo Bamba,UTA,2,0,2,0,0,0,2,0,2
Cam Thomas,Ryan Rollins,MIL,0,2,0,1,0,1,2,0,2
Keshad Johnson,Norman Powell,MIA,0,2,0,1,0,1,2,0,2
Clint Capela,Dorian Finney-Smith,HOU,2,0,1,0,1,0,2,0,2
Devin Carter,Domantas Sabonis,SAC,2,0,2,0,0,0,2,0,2
Dean Wade,Dennis Schröder,CLE,2,0,1,0,1,0,2,0,2
Anthony Edwards,Kyle Anderson,MIN,0,2,0,0,0,2,2,0,2
Dalton Knecht,Kobe Bufkin,LAL,0,2,0,0,0,2,2,0,2
Nick Richards,Oso Ighodaro,PHX,0,2,0,2,0,0,2,0,2
Jakob Poeltl,Jamison Battle,TOR,2,0,1,0,1,0,2,0,2
Isaiah Jackson,Johnny Furphy,IND,2,0,2,0,0,0,2,0,2
Adem Bona,Dominick Barlow,PHI,0,2,0,2,0,0,2,0,2
Isaiah Livers,Jamaree Bouyea,PHX,2,0,2,0,0,0,2,0,2
LJ Cryer,Malevy Leons,GSW,1,0,1,0,0,0,1,0,1
Caleb Houstan,Zaccharie Risacher,ATL,0,1,0,0,0,1,1,0,1
Dwight Powell,Tyus Jones,DAL,0,1,0,0,0,1,1,0,1
Bryce McGowens,DeAndre Jordan,NOP,0,1,0,1,0,0,1,0,1
Chaz Lanier,Duncan Robinson,DET,1,0,0,0,1,0,1,0,1
Cam Spencer,Lawson Lovering,MEM,1,0,1,0,0,0,1,0,1
Donovan Mitchell,Luke Travers,CLE,0,1,0,0,0,1,1,0,1
Jevon Carter,Zach Collins,CHI,1,0,1,0,0,0,1,0,1
Garrett Temple,Sandro Mamukelashvili,TOR,1,0,1,0,0,0,1,0,1
Al Horford,Malevy Leons,GSW,0,1,0,1,0,0,1,0,1
Cooper Flagg,Tyler Smith,DAL,1,0,1,0,0,0,1,0,1
Harrison Barnes,Mason Plumlee,SAS,0,1,0,0,0,1,1,0,1
Karl-Anthony Towns,Pacôme Dadiet,NYK,0,1,0,1,0,0,1,0,1
Brandon Clarke,Santi Aldama,MEM,0,1,0,1,0,0,1,0,1
Taurean Prince,Thanasis Antetokounmpo,MIL,0,1,0,1,0,0,1,0,1
Drew Eubanks,Keegan Murray,SAC,1,0,1,0,0,0,1,0,1
Blake Hinson,Keyonte George,UTA,0,1,0,0,0,1,1,0,1
Matisse Thybulle,Robert Williams III,POR,1,0,1,0,0,0,1,0,1
Amir Coffey,Jordan Goodwin,PHX,0,1,0,1,0,0,1,0,1
Kadary Richmond,Will Riley,WAS,0,1,0,0,0,1,1,0,1
Dominick Barlow,Kyle Lowry,PHI,1,0,0,0,1,0,1,0,1
Khris Middleton,Moussa Cisse,DAL,1,0,1,0,0,0,1,0,1
Taj Gibson,Toby Okani,MEM,0,1,0,1,0,0,1,0,1
Caleb Houstan,Christian Koloko,ATL,1,0,1,0,0,0,1,0,1
Guerschon Yabusele,Lachlan Olbrich,CHI,0,1,0,0,0,1,1,0,1
Josh Minott,Luka Garza,BOS,1,0,1,0,0,0,1,0,1
Rayan Rupert,Tyler Burton,MEM,1,0,0,0,1,0,1,0,1
Rayan Rupert,Scoot Henderson,POR,0,1,0,0,0,1,1,0,1
Isaiah Livers,Nigel Hayes-Davis,PHX,0,1,0,0,0,1,1,0,1
LJ Cryer,Quinten Post,GSW,0,1,0,0,0,1,1,0,1
Miles Kelly,Naji Marshall,DAL,0,1,0,0,0,1,1,0,1
Bruce Brown,Curtis Jones,DEN,1,0,1,0,0,0,1,0,1
John Poulakidas,P.J. Washington,DAL,1,0,0,0,1,0,1,0,1
Antonio Reeves,Liam McNeeley,CHA,0,1,0,1,0,0,1,0,1
Chris Mañon,Drew Timme,LAL,1,0,0,0,1,0,1,0,1
Miles Kelly,Moussa Cisse,DAL,1,0,1,0,0,0,1,0,1
Alondes Williams,Tre Johnson,WAS,0,1,0,0,0,1,1,0,1
Charles Bassey,Trendon Watford,PHI,0,1,0,1,0,0,1,0,1
Kris Murray,Yang Hansen,POR,1,0,1,0,0,0,1,0,1
Antonio Reeves,Tre Mann,CHA,1,0,1,0,0,0,1,0,1
Grayson Allen,Jamaree Bouyea,PHX,0,1,0,0,0,1,1,0,1
