player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Jaylin Williams,Shai Gilgeous-Alexander,OKC,24,50,19,11,5,39,74,32.432432432432435,26
Derik Queen,Jeremiah Fears,NOP,36,29,24,25,12,4,65,32.12307692307692,7
Luka Dončić,Marcus Smart,LAL,47,24,14,12,33,12,71,31.774647887323944,23
Donte DiVincenzo,Rudy Gobert,MIN,43,25,43,4,0,21,68,31.61764705882353,18
Jamal Shead,Scottie Barnes,TOR,75,20,67,8,8,12,95,31.57894736842105,55
Anthony Edwards,Rudy Gobert,MIN,36,28,36,14,0,14,64,31.5,8
De'Aaron Fox,Harrison Barnes,SAS,49,23,17,16,32,7,72,31.305555555555557,26
Brandon Ingram,Jamal Shead,TOR,20,71,5,45,15,26,91,31.208791208791208,51
Dru Smith,Jaime Jaquez Jr.,MIA,35,28,28,16,7,12,63,31.11111111111111,7
Jeremiah Fears,Saddiq Bey,NOP,44,24,20,15,24,9,68,31.058823529411764,20
Keyonte George,Lauri Markkanen,UTA,83,19,57,10,26,9,102,30.92156862745098,64
Jamal Shead,Sandro Mamukelashvili,TOR,82,19,52,6,30,13,101,30.85148514851485,63
Deni Avdija,Jrue Holiday,POR,23,45,10,27,13,18,68,30.441176470588236,22
Dylan Harper,Keldon Johnson,SAS,45,23,25,16,20,7,68,30.441176470588236,22
DeMar DeRozan,Malik Monk,SAC,27,34,6,28,21,6,61,30.098360655737704,7
Davion Mitchell,Jaime Jaquez Jr.,MIA,42,23,30,8,12,15,65,29.723076923076924,19
Anthony Edwards,Jaden McDaniels,MIN,39,24,29,12,10,12,63,29.714285714285715,15
De'Aaron Fox,Keldon Johnson,SAS,56,20,32,10,24,10,76,29.473684210526315,36
Devin Vassell,Victor Wembanyama,SAS,34,26,28,11,6,15,60,29.466666666666665,8
Devin Booker,Oso Ighodaro,PHX,34,26,34,18,0,8,60,29.466666666666665,8
Paolo Banchero,Tristan da Silva,ORL,48,21,22,18,26,3,69,29.217391304347824,27
Paul George,VJ Edgecombe,PHI,25,35,13,14,12,21,60,29.166666666666668,10
Alex Sarr,Kyshawn George,WAS,22,43,7,30,15,13,65,29.107692307692307,21
Brandin Podziemski,Moses Moody,GSW,43,22,9,13,34,9,65,29.107692307692307,21
Ayo Dosunmu,Nikola Vučević,CHI,30,28,20,14,10,14,58,28.96551724137931,2
Donte DiVincenzo,Naz Reid,MIN,39,23,20,4,19,19,62,28.93548387096774,16
Bobby Portis,Ryan Rollins,MIL,18,72,5,41,13,31,90,28.8,54
Nikola Vučević,Tre Jones,CHI,21,45,13,28,8,17,66,28.636363636363637,24
Joel Embiid,VJ Edgecombe,PHI,22,41,8,32,14,9,63,28.634920634920636,19
Egor Dëmin,Michael Porter Jr.,BKN,44,21,22,4,22,17,65,28.43076923076923,23
Ivica Zubac,James Harden,LAC,17,86,8,86,9,0,103,28.388349514563107,69
Devin Booker,Grayson Allen,PHX,37,23,7,13,30,10,60,28.366666666666667,14
Bones Hyland,Naz Reid,MIN,43,21,19,7,24,14,64,28.21875,22
Russell Westbrook,Zach LaVine,SAC,54,19,28,6,26,13,73,28.10958904109589,35
Egor Dëmin,Noah Clowney,BKN,42,21,10,5,32,16,63,28,21
Bam Adebayo,Jaime Jaquez Jr.,MIA,20,46,15,33,5,13,66,27.87878787878788,26
CJ McCollum,Jalen Johnson,ATL,26,30,15,17,11,13,56,27.857142857142858,4
Draymond Green,Jimmy Butler III,GSW,33,24,31,9,2,15,57,27.789473684210527,9
Ausar Thompson,Duncan Robinson,DET,37,22,11,22,26,0,59,27.593220338983052,15
Brandon Ingram,RJ Barrett,TOR,40,21,24,13,16,8,61,27.540983606557376,19
Jalen Brunson,OG Anunoby,NYK,72,17,34,6,38,11,89,27.50561797752809,55
Cason Wallace,Shai Gilgeous-Alexander,OKC,19,49,14,19,5,30,68,27.38235294117647,30
Jalen Duren,Tobias Harris,DET,22,36,19,36,3,0,58,27.310344827586206,14
Bones Hyland,Julius Randle,MIN,36,22,28,8,8,14,58,27.310344827586206,14
Aaron Gordon,Nikola Jokić,DEN,18,56,17,36,1,20,74,27.243243243243242,38
Julius Randle,Naz Reid,MIN,55,18,17,12,38,6,73,27.123287671232877,37
Andrew Nembhard,Jay Huff,IND,67,17,32,9,35,8,84,27.11904761904762,50
Paul George,Tyrese Maxey,PHI,23,33,15,10,8,23,56,27.107142857142858,10
Harrison Barnes,Victor Wembanyama,SAS,42,20,36,8,6,12,62,27.096774193548388,22
Brandin Podziemski,Gui Santos,GSW,31,24,15,12,16,12,55,27.054545454545455,7
Egor Dëmin,Nic Claxton,BKN,24,31,23,12,1,19,55,27.054545454545455,7
Evan Mobley,Sam Merrill,CLE,31,24,11,20,20,4,55,27.054545454545455,7
Brandon Ingram,Sandro Mamukelashvili,TOR,35,22,14,13,21,9,57,27.017543859649123,13
Ausar Thompson,Tobias Harris,DET,28,26,15,25,13,1,54,26.962962962962962,2
AJ Green,Giannis Antetokounmpo,MIL,20,41,17,6,3,35,61,26.885245901639344,21
Collin Gillespie,Jordan Goodwin,PHX,37,21,14,7,23,14,58,26.79310344827586,16
Aaron Nesmith,Pascal Siakam,IND,23,32,15,7,8,25,55,26.763636363636362,9
Grayson Allen,Royce O'Neale,PHX,32,23,4,12,28,11,55,26.763636363636362,9
Christian Braun,Jamal Murray,DEN,22,34,8,21,14,13,56,26.714285714285715,12
Evan Mobley,Jaylon Tyson,CLE,40,20,20,18,20,2,60,26.666666666666668,20
Julius Randle,Mike Conley,MIN,24,30,5,25,19,5,54,26.666666666666668,6
Shaedon Sharpe,Toumani Camara,POR,30,24,8,14,22,10,54,26.666666666666668,6
CJ McCollum,Nickeil Alexander-Walker,ATL,33,22,9,11,24,11,55,26.4,11
Deandre Ayton,Luka Dončić,LAL,15,109,8,109,7,0,124,26.370967741935484,94
Kon Knueppel,Sion James,CHA,20,38,5,8,15,30,58,26.20689655172414,18
Jeremiah Fears,Zion Williamson,NOP,37,20,36,12,1,8,57,25.964912280701753,17
Alex Caruso,Shai Gilgeous-Alexander,OKC,21,34,19,19,2,15,55,25.963636363636365,13
Duncan Robinson,Jalen Duren,DET,34,21,34,6,0,15,55,25.963636363636365,13
Deni Avdija,Shaedon Sharpe,POR,46,18,32,9,14,9,64,25.875,28
Ja'Kobe Walter,Scottie Barnes,TOR,22,31,17,14,5,17,53,25.735849056603772,9
Devin Booker,Jordan Goodwin,PHX,31,22,7,16,24,6,53,25.735849056603772,9
Brook Lopez,Kawhi Leonard,LAC,21,33,14,14,7,19,54,25.666666666666668,12
Amen Thompson,Jabari Smith Jr.,HOU,86,15,37,12,49,3,101,25.544554455445546,71
Jakob Poeltl,Scottie Barnes,TOR,16,63,12,63,4,0,79,25.518987341772153,47
Anfernee Simons,Derrick White,BOS,25,26,14,9,11,17,51,25.49019607843137,1
Kevin Durant,Tari Eason,HOU,35,20,19,9,16,11,55,25.454545454545453,15
Max Christie,Naji Marshall,DAL,21,32,11,11,10,21,53,25.358490566037737,11
Ace Bailey,Jusuf Nurkić,UTA,18,42,17,28,1,14,60,25.2,24
AJ Green,Ryan Rollins,MIL,17,48,2,4,15,44,65,25.107692307692307,31
Chet Holmgren,Isaiah Hartenstein,OKC,19,37,19,30,0,7,56,25.107142857142858,18
Amen Thompson,Tari Eason,HOU,29,22,9,20,20,2,51,25.019607843137255,7
Saddiq Bey,Zion Williamson,NOP,18,41,18,17,0,24,59,25.016949152542374,23
Dominick Barlow,Tyrese Maxey,PHI,19,36,9,30,10,6,55,24.87272727272727,17
Alex Sarr,Khris Middleton,WAS,18,40,10,35,8,5,58,24.82758620689655,22
Desmond Bane,Franz Wagner,ORL,30,21,22,11,8,10,51,24.705882352941178,9
Jamal Murray,Peyton Watson,DEN,54,16,30,4,24,12,70,24.685714285714287,38
Ausar Thompson,Jalen Duren,DET,45,17,45,16,0,1,62,24.677419354838708,28
James Harden,Kris Dunn,LAC,39,18,19,6,20,12,57,24.63157894736842,21
Maxime Raynaud,Russell Westbrook,SAC,14,102,8,97,6,5,116,24.620689655172413,88
Kon Knueppel,Ryan Kalkbrenner,CHA,32,20,32,9,0,11,52,24.615384615384617,12
Trendon Watford,Tyrese Maxey,PHI,32,20,16,17,16,3,52,24.615384615384617,12
Julian Champagnie,Victor Wembanyama,SAS,25,24,19,7,6,17,49,24.489795918367346,1
Brandon Williams,Cooper Flagg,DAL,26,23,22,16,4,7,49,24.408163265306122,3
Brandon Ingram,Collin Murray-Boyles,TOR,34,19,30,11,4,8,53,24.37735849056604,15
De'Aaron Fox,Dylan Harper,SAS,29,21,21,9,8,12,50,24.36,8
Jarrett Allen,Sam Merrill,CLE,20,31,7,31,13,0,51,24.313725490196077,11
De'Aaron Fox,Julian Champagnie,SAS,50,16,12,10,38,6,66,24.242424242424242,34
Pascal Siakam,T.J. McConnell,IND,18,37,14,23,4,14,55,24.21818181818182,19
Cam Spencer,Santi Aldama,MEM,49,16,30,5,19,11,65,24.123076923076923,33
Payton Pritchard,Sam Hauser,BOS,48,16,6,3,42,13,64,24,32
Donovan Mitchell,Jarrett Allen,CLE,48,16,48,11,0,5,64,24,32
Andrew Wiggins,Jaime Jaquez Jr.,MIA,20,30,17,17,3,13,50,24,10
Brice Sensabaugh,Kyle Filipowski,UTA,23,25,16,10,7,15,48,23.958333333333332,2
Andrew Wiggins,Pelle Larsson,MIA,19,32,13,18,6,14,51,23.84313725490196,13
