seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
30185,2022,4760,Matisse Thybulle,SG,PHI,61,1560,3,58,37,2,0,wing_small_percent,95,6,5,201,77,wing
30186,2022,4761,Matt Mooney,SG,NYK,1,2,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30187,2022,4762,Matt Thomas,SG,CHI,40,459,47,49,3,0,0,guard_percent,96,6,4,190,76,guard
30188,2022,4115,Maurice Harkless,SF,SAC,47,863,0,2,75,24,0,wing_big_percent,99,6,7,220,79,wing
30189,2022,4763,Max Strus,SF,MIA,64,1488,0,15,47,39,0,wing_big_percent,86,6,5,215,77,wing
30190,2022,4547,Maxi Kleber,PF,DAL,58,1424,0,0,0,53,47,big_percent,100,6,10,240,82,big
30191,2022,4985,McKinley Wright IV,PG,MIN,3,9,86,14,0,0,0,guard_percent,100,6,0,196,72,guard
30192,2022,4986,Micah Potter,C,DET,3,31,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
30193,2022,4766,Michael Porter Jr.,SF,DEN,9,265,0,0,91,9,0,wing_big_percent,100,6,10,218,82,wing
30194,2022,4658,Mikal Bridges,SF,PHO,76,2703,0,8,88,4,0,wing_small_percent,96,6,6,209,78,wing
30195,2022,3779,Mike Conley,PG,UTA,68,1929,100,0,0,0,0,guard_percent,100,6,1,175,73,guard
30196,2022,4183,Mike Muscala,C,OKC,43,592,0,0,0,0,100,big_percent,100,6,10,240,82,big
30197,2022,4659,Miles Bridges,PF,CHO,75,2691,0,0,20,69,11,wing_big_percent,89,6,6,225,78,wing
30198,2022,4987,Miles McBride,PG,NYK,37,336,98,2,0,0,0,guard_percent,100,6,2,200,74,guard
30199,2022,4661,Mitchell Robinson,C,NYK,70,1791,0,0,0,0,100,big_percent,100,7,0,240,84,big
30200,2022,4767,Miye Oni,SG,UTA,16,44,0,10,84,6,0,wing_small_percent,94,NA,NA,NA,NA,wing
30201,2022,4662,Mo Bamba,C,ORL,66,1701,0,0,0,1,99,big_percent,100,7,0,231,84,big
30202,2022,4551,Monte Morris,PG,DEN,71,2114,90,10,0,0,0,guard_percent,100,6,2,183,74,guard
30204,2022,4349,Montrezl Harrell,C,WAS,46,1117,0,0,0,0,100,big_percent,100,6,7,240,79,big
30205,2022,4349,Montrezl Harrell,C,CHO,21,443,0,0,0,8,92,big_percent,100,6,7,240,79,big
30206,2022,4663,Moritz Wagner,C,ORL,58,825,0,0,0,24,77,big_percent,101,6,11,245,83,big
30208,2022,4768,Moses Brown,C,DAL,26,169,0,0,0,2,98,big_percent,100,NA,NA,NA,NA,big
30209,2022,4768,Moses Brown,C,CLE,9,85,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
30210,2022,4988,Moses Moody,SG,GSW,49,583,0,41,52,7,0,wing_small_percent,93,6,6,205,78,wing
30212,2022,4989,Moses Wright,PF,LAC,1,1,0,0,0,0,100,big_percent,100,6,9,233,81,big
30213,2022,4989,Moses Wright,PF,DAL,2,5,0,39,0,61,0,wing_big_percent,61,6,9,233,81,wing
30213,2022,4989,Moses Wright,PF,DAL,2,5,0,39,0,61,0,big_percent,61,6,9,233,81,big
30214,2022,4769,Mychal Mulder,PG,ORL,15,195,84,16,0,0,0,guard_percent,100,6,3,184,75,guard
30215,2022,4990,Myles Powell,PG,PHI,11,52,100,0,0,0,0,guard_percent,100,6,2,195,74,guard
30216,2022,4350,Myles Turner,C,IND,42,1235,0,0,0,0,100,big_percent,100,6,11,250,83,big
30217,2022,4865,Naji Marshall,SF,NOP,49,632,0,21,56,22,1,wing_big_percent,78,6,7,220,79,wing
30218,2022,4770,Nassir Little,SF,POR,42,1088,0,0,64,35,0,wing_big_percent,99,6,5,220,77,wing
30219,2022,4867,Nate Hinton,SG,IND,2,2,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30219,2022,4867,Nate Hinton,SG,IND,2,2,0,100,0,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
30220,2022,4868,Nathan Knight,PF,MIN,36,251,0,0,0,26,74,big_percent,100,6,10,253,82,big
30221,2022,4771,Naz Reid,C,MIN,72,1137,0,0,0,8,92,big_percent,100,6,9,264,81,big
30222,2022,4991,Neemias Queta,C,SAC,11,71,0,0,0,0,100,big_percent,100,7,0,245,84,big
30223,2022,4351,Nemanja Bjelica,C,GSW,66,1044,0,0,0,0,100,big_percent,100,6,10,234,82,big
30224,2022,4278,Nerlens Noel,C,NYK,25,562,0,0,0,0,100,big_percent,100,6,11,220,83,big
30225,2022,4869,Nick Richards,C,CHO,47,356,0,0,0,0,100,big_percent,100,7,0,245,84,big
30227,2022,4772,Nickeil Alexander-Walker,SG,NOP,50,1317,4,40,42,15,0,wing_small_percent,82,6,6,205,78,wing
30228,2022,4772,Nickeil Alexander-Walker,SG,UTA,13,129,0,55,44,1,0,wing_small_percent,99,6,6,205,78,wing
30229,2022,3841,Nicolas Batum,PF,LAC,56,1392,0,0,0,88,12,big_percent,100,6,8,230,80,big
30230,2022,4773,Nicolas Claxton,C,BRK,42,861,0,0,0,6,94,big_percent,100,NA,NA,NA,NA,big
30232,2022,4280,Nik Stauskas,SG,MIA,2,24,0,9,91,0,0,wing_small_percent,100,6,6,205,78,wing
30233,2022,4280,Nik Stauskas,SG,BOS,6,15,0,84,16,0,0,wing_small_percent,100,6,6,205,78,wing
30234,2022,4352,Nikola Jokić,C,DEN,70,2324,0,0,0,0,100,big_percent,100,6,11,284,83,big
30235,2022,4047,Nikola Vučević,C,CHI,69,2312,0,0,0,0,100,big_percent,100,6,10,260,82,big
30237,2022,4353,Norman Powell,SF,POR,40,1333,0,18,75,7,0,wing_small_percent,93,6,3,215,75,wing
30238,2022,4353,Norman Powell,SG,LAC,3,80,33,67,0,0,0,guard_percent,100,6,3,215,75,guard
30239,2022,4776,Norvel Pelle,C,UTA,3,19,0,0,0,5,95,big_percent,100,NA,NA,NA,NA,big
30240,2022,4871,Obi Toppin,PF,NYK,67,1042,0,0,0,98,2,big_percent,100,6,9,220,81,big
30241,2022,4555,OG Anunoby,SF,TOR,46,1668,6,32,55,7,0,wing_small_percent,87,6,7,232,79,wing
30242,2022,4992,Olivier Sarr,C,OKC,19,330,0,0,0,0,100,big_percent,100,7,0,237,84,big
30243,2022,4993,Omer Yurtseven,C,MIA,52,641,0,0,0,0,100,big_percent,100,7,0,264,84,big
30244,2022,4872,Onyeka Okongwu,C,ATL,43,894,0,0,0,2,98,big_percent,100,6,8,235,80,big
30245,2022,4777,Oshae Brissett,SF,IND,62,1401,0,0,21,75,4,wing_big_percent,96,6,7,210,79,wing
30246,2022,4189,Otto Porter,PF,GSW,60,1311,0,0,0,64,36,big_percent,100,6,8,198,80,big
30247,2022,3698,P.J. Tucker,PF,MIA,69,1932,0,0,0,96,4,big_percent,100,6,5,245,77,big
30248,2022,4778,P.J. Washington,PF,CHO,60,1622,0,0,2,45,52,big_percent,97,6,7,230,79,big
30249,2022,4994,Paris Bass,SF,PHO,2,7,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
