seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31939,2025,5222,Branden Carlson,NA,C,25,1,NBA,OKC,32,246,17.6,0.581,0.68,0.186,7.6,15.8,11.8,7.5,1,8.6,6.3,19.3,0.4,0.5,0.9,0.177,0.5,0.8,1.3,0.2
31940,2025,5120,Brandin Podziemski,NA,SG,21,2,NBA,GSW,64,1716,14.4,0.557,0.491,0.151,4,16.8,10.2,18.7,2,0.7,10.1,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2
31941,2025,4909,Brandon Boston Jr.,NA,SG,23,4,NBA,NOP,42,993,12.7,0.535,0.367,0.223,3,11.9,7.3,13.7,2.6,0.9,11.1,20,0.2,0.5,0.7,0.033,-2.3,-0.2,-2.5,-0.1
31942,2025,4693,Brandon Clarke,NA,PF,28,6,NBA,MEM,64,1207,17.6,0.638,0.045,0.229,11.3,17.3,14.3,7.4,2,2.7,8.9,15.3,2.7,1.7,4.4,0.174,0,0.8,0.8,0.9
31943,2025,4378,Brandon Ingram,NA,SF,27,9,NBA,NOP,18,595,16,0.56,0.345,0.165,3,15.5,9.1,26.8,1.3,1.8,16.2,30.2,-0.2,0.2,0,0.001,1.4,-1.7,-0.3,0.3
31944,2025,5121,Brandon Miller,NA,SF,22,2,NBA,CHO,27,924,14,0.54,0.597,0.161,2.8,12.5,7.6,18.3,1.5,2.1,12.6,27.7,-0.2,0.7,0.4,0.023,0.8,-0.8,0,0.4
31945,2025,4910,Brandon Williams,1999,PG,25,3,NBA,DAL,33,487,18.3,0.634,0.319,0.351,2.7,10.1,6.5,23.2,2.4,0.9,15.2,22.6,0.9,0.4,1.3,0.129,1,-0.1,1,0.4
31946,2025,4911,Braxton Key,NA,SF,27,4,NBA,GSW,3,11,1.1,0.226,0.25,1.5,9.5,10.1,9.8,0,8.8,0,13.1,29.3,-0.1,0,-0.1,-0.259,-13.9,0.3,-13.6,0
31947,2025,5122,Brice Sensabaugh,NA,SF,21,2,NBA,UTA,71,1432,13.4,0.612,0.621,0.122,3.2,12.6,7.9,12,1.5,0.5,14.5,21.5,0.9,0.3,1.2,0.042,0.4,-1.6,-1.2,0.3
31948,2025,5223,Bronny James,NA,SG,20,1,NBA,LAL,27,181,7.1,0.424,0.478,0.209,2.6,8.5,5.6,16.5,2.4,1.6,15.1,20.9,-0.3,0.2,-0.2,-0.043,-5.9,-1.3,-7.2,-0.2
31949,2025,3801,Brook Lopez,NA,C,36,17,NBA,MIL,80,2546,14.8,0.624,0.482,0.178,5,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8
31950,2025,4593,Bruce Brown,NA,PG,28,7,NBA,TOT,41,922,10.9,0.504,0.262,0.21,4.5,14.9,9.6,12.8,1.8,1,10.4,17.2,0.1,0.6,0.7,0.035,-3.2,-0.6,-3.8,-0.4
31951,2025,4593,Bruce Brown,NA,PG,28,7,NBA,TOR,18,353,12.3,0.525,0.275,0.221,5,15.9,10.3,11.3,2.3,0.8,11.7,19.3,0,0.4,0.4,0.06,-2.7,0.2,-2.5,0
31952,2025,4593,Bruce Brown,NA,PG,28,7,NBA,NOP,23,569,10.1,0.488,0.253,0.202,4.2,14.3,9.1,13.8,1.4,1.2,9.4,15.9,0.1,0.2,0.2,0.02,-3.4,-1.2,-4.6,-0.4
31953,2025,4695,Bruno Fernando,NA,C,26,6,NBA,TOR,17,147,15.3,0.552,0,0.163,15,22.4,18.6,17.9,1.3,5.8,21,18.9,0,0.2,0.3,0.085,-3,2.3,-0.7,0.1
31954,2025,5032,Bryce McGowens,NA,SG,22,3,NBA,POR,13,32,1.7,0.391,0.286,0.429,6.6,3.5,5.1,8.7,1.5,0,19.4,26.8,-0.1,0,-0.1,-0.172,-9.9,-3.8,-13.6,-0.1
31955,2025,5224,Bub Carrington,NA,PG,19,1,NBA,WAS,82,2458,9,0.514,0.544,0.114,1.4,13.1,7.2,21.2,1,0.8,15.2,15.8,-0.4,0.6,0.2,0.005,-3.3,-1.3,-4.6,-1.6
31956,2025,4381,Buddy Hield,NA,SG,32,9,NBA,GSW,82,1863,12.3,0.56,0.698,0.081,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,0.6,2.2,2.8,0.073,-0.7,-0.3,-1,0.5
31957,2025,4150,CJ McCollum,NA,PG,33,12,NBA,NOP,56,1832,15.8,0.55,0.459,0.173,2.4,10.3,6.2,20.6,1.2,1.3,9,27.2,1.3,0.2,1.5,0.038,1.2,-2.6,-1.4,0.3
31958,2025,4912,Cade Cunningham,NA,PG,23,4,NBA,DET,70,2452,20.6,0.565,0.287,0.254,2.5,16.5,9.6,43,1.4,2.1,16,33.2,3,2.9,5.9,0.115,3.8,0.1,3.9,3.7
31959,2025,5034,Caleb Houstan,NA,SF,22,3,NBA,ORL,58,788,9.4,0.605,0.842,0.089,2.6,8.6,5.5,6.4,1.4,0.7,6.2,11.7,0.9,0.9,1.8,0.109,-2.4,0.2,-2.2,0
31960,2025,4696,Caleb Martin,NA,SF,29,6,NBA,TOT,45,1218,9.6,0.513,0.339,0.322,4.8,11.7,8.2,10.7,1.9,1.8,13.9,14.4,0,0.7,0.6,0.025,-2.9,-0.2,-3.2,-0.4
31961,2025,4696,Caleb Martin,NA,SF,29,6,NBA,PHI,31,943,10.1,0.531,0.375,0.319,5,11.6,8.2,10.2,1.8,2.1,14,14.2,0.1,0.5,0.6,0.03,-2.3,-0.2,-2.5,-0.1
31962,2025,4696,Caleb Martin,NA,SF,29,6,NBA,DAL,14,275,8,0.454,0.222,0.333,4,12,8.1,12.3,2.1,0.9,13.6,14.9,-0.2,0.2,0,0.008,-5,-0.3,-5.3,-0.2
31963,2025,5225,Cam Christie,NA,SG,19,1,NBA,LAC,13,59,9.1,0.349,0.542,0.167,5.8,17,11.5,13.7,4.2,1.7,7.2,20.5,-0.1,0.1,0,-0.005,-5.5,3,-2.5,0
31964,2025,4697,Cam Reddish,NA,SF,25,6,NBA,LAL,33,589,7.4,0.498,0.5,0.277,3.3,9.1,6.3,4.8,2.8,1.6,10.2,8.8,0,0.6,0.7,0.054,-4.4,1.6,-2.7,-0.1
31965,2025,5226,Cam Spencer,NA,SG,24,1,NBA,MEM,25,252,14.2,0.587,0.646,0.232,5.1,7.5,6.3,16.9,1.7,0.4,6.2,15.4,0.6,0.2,0.8,0.16,0.3,0.2,0.5,0.2
31966,2025,4913,Cam Thomas,NA,SG,23,4,NBA,BRK,25,781,18,0.575,0.43,0.333,2.1,10.4,6,22.9,1,0.3,10.6,32.6,0.8,0.4,1.2,0.071,2.8,-2.6,0.3,0.5
31967,2025,5123,Cam Whitmore,NA,SF,20,2,NBA,HOU,51,827,15.5,0.549,0.454,0.179,4.5,15.1,9.7,8.9,1.8,1.4,9.6,23.9,0.6,1.2,1.8,0.106,0.7,-0.4,0.3,0.5
31968,2025,4698,Cameron Johnson,NA,PF,28,6,NBA,BRK,57,1800,18.2,0.632,0.546,0.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3
