player,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Devin Vassell,SG,24,5,0.553,22.1,0.4,0.6739130434782609,0.7391304347826086,0.44565217391304346,1.858695652173913
Dillon Brooks,SF,29,8,0.555,17.7,0.4,0.7068965517241379,0.46551724137931033,0.39655172413793105,1.5689655172413792
Dillon Jones,SF,23,1,0.464,13.3,-0.3,1,0.06896551724137931,0.7586206896551724,1.8275862068965516
Domantas Sabonis,C,28,9,0.655,21.6,4.4,0.19672131147540983,0.8360655737704918,0.01639344262295082,1.0491803278688525
Donovan Clingan,C,20,1,0.574,14.2,0.6,0.7213114754098361,0.2459016393442623,0.5737704918032787,1.540983606557377
Donovan Mitchell,SG,28,8,0.575,30.9,3.2,0.44565217391304346,0.9891304347826086,0.05434782608695652,1.4891304347826086
Donte DiVincenzo,SG,28,7,0.582,19.4,1.6,0.391304347826087,0.6195652173913043,0.16304347826086957,1.173913043478261
Dorian Finney-Smith,PF,31,9,0.604,12.3,0.5,0.27692307692307694,0.09230769230769231,0.5692307692307692,0.9384615384615385
Doug McDermott,SF,33,11,0.617,15.7,-0.1,0.06896551724137931,0.27586206896551724,0.6724137931034483,1.0172413793103448
Draymond Green,PF,34,13,0.534,15.9,1.3,0.8307692307692308,0.35384615384615387,0.24615384615384617,1.4307692307692308
Drew Eubanks,C,27,7,0.622,15.1,0.3,0.39344262295081966,0.32786885245901637,0.7049180327868853,1.4262295081967213
Duncan Robinson,SF,30,7,0.595,19.2,0.1,0.3103448275862069,0.603448275862069,0.5517241379310345,1.4655172413793103
Duop Reath,C,28,2,0.552,17,0.2,0.8688524590163934,0.5081967213114754,0.819672131147541,2.19672131147541
Dwight Powell,C,33,11,0.713,7.6,0.3,0.06557377049180328,0,0.7049180327868853,0.7704918032786885
Dyson Daniels,SG,21,3,0.545,18.2,2.3,0.75,0.5543478260869565,0.09782608695652174,1.4021739130434783
Evan Mobley,PF,23,4,0.633,23.2,3.6,0.09230769230769231,0.7692307692307693,0.03076923076923077,0.8923076923076924
Franz Wagner,SF,23,4,0.558,31,2.6,0.6379310344827587,1,0.05172413793103448,1.6896551724137931
Fred VanVleet,PG,30,9,0.515,17.7,1.5,0.8333333333333334,0.3,0.3,1.4333333333333333
Gabe Vincent,PG,28,6,0.536,13.5,-0.8,0.6333333333333333,0.08333333333333333,0.9333333333333333,1.65
Garrison Mathews,SG,28,6,0.606,15.9,0.1,0.15217391304347827,0.34782608695652173,0.532608695652174,1.0326086956521738
Gary Harris,SG,30,11,0.524,9.5,-0.1,0.8586956521739131,0.010869565217391304,0.6630434782608695,1.5326086956521738
Gary Payton II,SG,32,9,0.635,16.1,0.8,0.03260869565217391,0.391304347826087,0.30434782608695654,0.7282608695652174
Gary Trent Jr.,SG,26,7,0.591,17.1,0.2,0.30434782608695654,0.4673913043478261,0.5108695652173914,1.282608695652174
Georges Niang,PF,31,9,0.607,17.9,-0.1,0.24615384615384617,0.5384615384615384,0.8153846153846154,1.6
Giannis Antetokounmpo,PF,30,12,0.625,35.2,6.6,0.16923076923076924,1,0,1.1692307692307693
Goga Bitadze,C,25,6,0.631,14.3,1.6,0.32786885245901637,0.26229508196721313,0.3442622950819672,0.9344262295081966
Gradey Dick,SG,21,2,0.543,21,-0.5,0.8043478260869565,0.6956521739130435,0.8913043478260869,2.391304347826087
Grayson Allen,SG,29,7,0.631,17.6,0.7,0.043478260869565216,0.5217391304347826,0.33695652173913043,0.9021739130434783
Guerschon Yabusele,C,29,3,0.616,16.3,0.5,0.4426229508196721,0.4098360655737705,0.6065573770491803,1.459016393442623
Gui Santos,PF,22,2,0.575,13.2,0.1,0.5076923076923077,0.12307692307692308,0.7230769230769231,1.353846153846154
Harrison Barnes,PF,32,13,0.656,15.7,1.2,0,0.3230769230769231,0.26153846153846155,0.5846153846153846
Haywood Highsmith,SF,28,5,0.583,11.3,0.1,0.4482758620689655,0,0.5517241379310345,1
Hunter Tyson,PF,24,2,0.506,15.5,-0.3,0.9384615384615385,0.3076923076923077,0.8769230769230769,2.123076923076923
Isaac Okoro,SG,24,5,0.587,12.5,0.4,0.34782608695652173,0.07608695652173914,0.44565217391304346,0.8695652173913043
Isaiah Collier,PG,20,1,0.494,18.9,-1.6,0.95,0.4166666666666667,0.9833333333333333,2.35
Isaiah Hartenstein,C,26,7,0.599,16.7,2.1,0.5901639344262295,0.45901639344262296,0.19672131147540983,1.2459016393442623
Isaiah Joe,SG,25,5,0.617,17.2,1.4,0.07608695652173914,0.4782608695652174,0.21739130434782608,0.7717391304347826
Isaiah Stewart,C,23,5,0.616,12.4,0.9,0.4426229508196721,0.08196721311475409,0.45901639344262296,0.9836065573770492
Ivica Zubac,C,27,9,0.641,19.5,3.4,0.2459016393442623,0.6885245901639344,0.08196721311475409,1.0163934426229508
Ja Morant,PG,25,6,0.563,32.2,1.7,0.45,0.9333333333333333,0.21666666666666667,1.6
Ja'Kobe Walter,SG,20,1,0.523,18.2,-0.3,0.8695652173913043,0.5543478260869565,0.8369565217391305,2.260869565217391
Jabari Smith Jr.,PF,21,3,0.562,16.4,0.6,0.6307692307692307,0.4461538461538462,0.5384615384615384,1.6153846153846154
Jabari Walker,SF,22,3,0.601,16.3,0.2,0.27586206896551724,0.3103448275862069,0.5,1.0862068965517242
Jaden Hardy,SG,22,3,0.549,25.3,-0.6,0.6956521739130435,0.8804347826086957,0.9130434782608695,2.489130434782609
Jaden McDaniels,PF,24,5,0.562,16.3,1.4,0.6307692307692307,0.4153846153846154,0.2153846153846154,1.2615384615384615
Jaden Springer,SG,22,4,0.511,14.3,-0.1,0.9021739130434783,0.16304347826086957,0.6630434782608695,1.7282608695652173
Jae'Sean Tate,SF,29,5,0.557,13.3,0.2,0.6724137931034483,0.06896551724137931,0.5,1.2413793103448276
Jaime Jaquez Jr.,SF,23,2,0.543,20.2,0.4,0.8448275862068966,0.6724137931034483,0.39655172413793105,1.9137931034482758
