player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
Joe Ingles,ORL,10,36,11000000,0.2,0.01818181818181818,0.08895717924871618
Moritz Wagner,ORL,6,26,8000000,0.9,0.1125,0.06469613036270268
Jalen Suggs,ORL,3,22,7252080,0.5,0.06894573694719308,0.058647689135093606
Anthony Black,ORL,1,20,7245480,-0.1,-0.013801708099394381,0.058594314827544375
Cole Anthony,ORL,4,23,5539771,0.5,0.0902564383979049,0.04480021834943997
Franz Wagner,ORL,3,22,5508720,1.1,0.19968341102833329,0.04454910840645344
Chuma Okeke,ORL,4,25,5266713,0,0,0.04259199385386762
Jett Howard,ORL,1,20,5026800,0,0,0.04065181351340423
Goga Bitadze,ORL,5,24,2066585,1,0.48389008920513793,0.01671250657070074
Caleb Houstan,ORL,2,21,2000000,-0.1,-0.05,0.01617403259067567
Joel Embiid,PHI,8,29,47607350,4.1,0.08612115566188834,0.3850014152278517
Tobias Harris,PHI,13,31,39270150,1.1,0.02801109748753188,0.3175783429703611
Marcus Morris,PHI,13,34,17116279,-0.2,-0.011684782656323844,0.13841962718854878
Nicolas Batum,PHI,16,35,11710818,0.5,0.042695565758087944,0.09470557599773563
Robert Covington,PHI,11,33,11692308,0.4,0.03421052541551249,0.09455588532610894
De'Anthony Melton,PHI,6,25,8000000,0.6,0.075,0.06469613036270268
Paul Reed,PHI,4,24,7723000,0.4,0.051793344555224656,0.0624560268488941
Furkan Korkmaz,PHI,7,26,5370370,0,0,0.04343026970199345
Tyrese Maxey,PHI,4,23,4343920,2.1,0.4834343173907439,0.03512935182564393
Danuel House Jr.,PHI,8,30,4310250,-0.2,-0.046401020822458096,0.0348570619869799
Jaden Springer,PHI,3,21,2226240,-0.1,-0.0449187868334052,0.018003639157332902
Mo Bamba,PHI,6,25,2019706,0.2,0.09902431343967885,0.0163333953337916
Kelly Oubre Jr.,PHI,9,28,2019706,0.1,0.049512156719839426,0.0163333953337916
Patrick Beverley,PHI,12,35,2019706,0.1,0.049512156719839426,0.0163333953337916
KJ Martin,PHI,4,23,1930681,-0.3,-0.1553855867437448,0.015613448708099147
Danny Green,PHI,15,36,200000,0,0,0.001617403259067567
Kevin Durant,PHO,16,35,47649433,3,0.06295982577589118,0.3853417411346084
Bradley Beal,PHO,12,30,46741590,-0.2,-0.00427884460070785,0.378
Devin Booker,PHO,9,27,36016200,1.9,0.05275403846047057,0.2912635962961465
