seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
29985,2022,3880,James Harden,PG,BRK,44,1627,29,56,15,0,0,guard_percent,85,6,5,220,77,guard
29986,2022,3880,James Harden,SG,PHI,21,792,6,42,52,0,0,wing_small_percent,94,6,5,220,77,wing
29987,2022,3881,James Johnson,PF,BRK,62,1191,0,0,30,66,4,wing_big_percent,96,NA,NA,NA,NA,wing
29988,2022,4950,Jamorko Pickett,PF,DET,13,176,0,0,7,51,42,big_percent,93,6,9,206,81,big
29989,2022,4255,JaMychal Green,PF,DEN,67,1085,0,0,27,63,10,wing_big_percent,90,6,8,227,80,wing
29990,2022,4951,JaQuori McLaughlin,PG,DAL,4,11,50,50,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
29991,2022,4952,Jared Butler,SG,UTA,42,360,60,38,2,0,0,guard_percent,98,6,3,195,75,guard
29992,2022,4726,Jared Harper,PG,NOP,5,43,100,0,0,0,0,guard_percent,100,5,10,175,70,guard
29993,2022,4632,Jaren Jackson Jr.,PF,MEM,78,2126,0,0,3,55,43,big_percent,98,6,11,242,83,big
29994,2022,4634,Jarred Vanderbilt,PF,MIN,74,1880,0,0,0,96,4,big_percent,100,6,9,214,81,big
29995,2022,4515,Jarrett Allen,C,CLE,56,1809,0,0,0,0,100,big_percent,100,6,11,243,83,big
29996,2022,4728,Jarrett Culver,SG,MEM,37,338,4,71,26,0,0,wing_small_percent,97,6,6,195,78,wing
29997,2022,4953,Jarron Cumberland,SG,POR,3,12,33,39,28,0,0,guard_percent,72,NA,NA,NA,NA,guard
29998,2022,3824,JaVale McGee,C,PHO,74,1172,0,0,0,0,100,big_percent,100,7,0,270,84,big
29999,2022,4954,Javin DeLaurier,C,MIL,1,3,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
30000,2022,4729,Javonte Green,SF,CHI,65,1519,1,60,38,1,0,wing_small_percent,98,6,4,205,76,wing
30002,2022,4955,Javonte Smart,PG,MIL,13,160,77,24,0,0,0,guard_percent,101,6,4,205,76,guard
30003,2022,4955,Javonte Smart,PG,MIA,4,40,15,64,21,0,0,wing_small_percent,85,6,4,205,76,wing
30004,2022,4730,Jaxson Hayes,C,NOP,70,1398,0,0,0,48,52,big_percent,100,6,11,220,83,big
30005,2022,4956,Jay Huff,C,LAL,4,20,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
30006,2022,4847,Jay Scrubb,SG,LAC,18,121,25,60,16,0,0,guard_percent,85,6,5,220,77,guard
30007,2022,4415,Jaylen Brown,SF,BOS,66,2220,0,45,47,8,0,wing_small_percent,92,6,6,223,78,wing
30008,2022,4731,Jaylen Hoard,SF,OKC,7,240,0,4,24,40,32,big_percent,72,6,8,216,80,big
30009,2022,4517,Jaylen Morris,SG,SAS,3,16,59,41,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30010,2022,4732,Jaylen Nowell,SG,MIN,62,975,14,56,30,0,0,wing_small_percent,86,6,4,201,76,wing
30011,2022,4957,Jaysean Paige,PG,DET,1,7,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30011,2022,4957,Jaysean Paige,PG,DET,1,7,0,100,0,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
30012,2022,4518,Jayson Tatum,SF,BOS,76,2731,0,1,67,32,0,wing_big_percent,99,6,8,210,80,wing
30014,2022,4958,Jeff Dowtin,PG,GSW,4,28,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30015,2022,4958,Jeff Dowtin,PG,MIL,1,3,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30016,2022,4958,Jeff Dowtin,PG,ORL,4,77,82,18,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30017,2022,3761,Jeff Green,C,DEN,75,1849,0,0,0,75,25,big_percent,100,6,8,235,80,big
30018,2022,4636,Jemerrio Jones,SF,LAL,2,15,0,0,19,81,0,wing_big_percent,100,NA,NA,NA,NA,wing
30019,2022,4257,Jerami Grant,PF,DET,47,1500,0,0,2,95,3,big_percent,98,6,8,210,80,big
30020,2022,4959,Jeremiah Robinson-Earl,C,OKC,49,1087,0,0,0,21,79,big_percent,100,6,9,230,81,big
30022,2022,4096,Jeremy Lamb,SF,IND,39,613,0,35,57,7,1,wing_small_percent,92,6,5,180,77,wing
30023,2022,4096,Jeremy Lamb,SG,SAC,17,322,25,58,17,0,0,guard_percent,83,6,5,180,77,guard
30024,2022,4960,Jericho Sims,PF,NYK,41,555,0,0,0,12,88,big_percent,100,6,10,245,82,big
30026,2022,4638,Jevon Carter,PG,BRK,46,552,64,36,0,0,0,guard_percent,100,6,1,200,73,guard
30027,2022,4638,Jevon Carter,PG,MIL,20,353,100,0,0,0,0,guard_percent,100,6,1,200,73,guard
30028,2022,4023,Jimmy Butler,SF,MIA,57,1931,0,0,67,32,0,wing_big_percent,99,6,7,230,79,wing
30029,2022,4961,Jock Landale,C,SAS,54,589,0,0,0,7,93,big_percent,100,6,11,256,83,big
30030,2022,4260,Joe Harris,SF,BRK,14,423,0,7,83,10,0,wing_big_percent,93,6,6,220,78,wing
30031,2022,4261,Joe Ingles,SF,UTA,45,1122,0,0,91,9,0,wing_big_percent,100,6,8,220,80,wing
30032,2022,3327,Joe Johnson,SG,BOS,1,2,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
30032,2022,3327,Joe Johnson,SG,BOS,1,2,0,0,100,0,0,wing_big_percent,100,NA,NA,NA,NA,wing
30033,2022,4962,Joe Wieskamp,SG,SAS,29,205,1,20,73,7,0,wing_small_percent,93,6,6,212,78,wing
30034,2022,4963,Joel Ayayi,SG,WAS,7,20,20,51,29,0,0,wing_small_percent,80,NA,NA,NA,NA,wing
30035,2022,4417,Joel Embiid,C,PHI,68,2297,0,0,0,0,100,big_percent,100,7,0,280,84,big
30036,2022,4519,John Collins,PF,ATL,54,1663,0,0,0,94,6,big_percent,100,6,9,235,81,big
30037,2022,4734,John Konchar,SG,MEM,72,1292,24,59,17,0,0,guard_percent,83,6,5,210,77,guard
30038,2022,4964,Jon Teske,C,MEM,3,8,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
30039,2022,4100,Jonas Valančiūnas,C,NOP,74,2240,0,0,0,0,100,big_percent,100,6,11,265,83,big
30040,2022,4965,Jonathan Kuminga,SF,GSW,70,1185,0,0,14,63,24,big_percent,87,6,8,210,80,big
30041,2022,4523,Jordan Bell,C,CHI,1,2,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
30042,2022,4265,Jordan Clarkson,SG,UTA,79,2141,1,87,12,0,0,wing_small_percent,99,6,4,194,76,wing
30043,2022,4966,Jordan Goodwin,SG,WAS,2,6,48,52,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30044,2022,4736,Jordan McLaughlin,PG,MIN,62,902,100,0,0,0,0,guard_percent,100,5,11,185,71,guard
30045,2022,4849,Jordan Nwora,SF,MIL,62,1185,0,1,40,51,8,wing_big_percent,91,6,8,225,80,wing
30046,2022,4737,Jordan Poole,SG,GSW,76,2283,33,62,5,0,0,guard_percent,95,6,4,194,76,guard
30047,2022,4967,Jordan Schakel,SG,WAS,4,30,4,85,11,0,0,wing_small_percent,96,6,6,200,78,wing
30048,2022,4968,Jose Alvarado,PG,NOP,54,834,100,0,0,0,0,guard_percent,100,6,0,179,72,guard
30049,2022,4969,Josh Christopher,SG,HOU,74,1334,11,59,28,1,0,wing_small_percent,87,6,5,215,77,wing
30050,2022,4970,Josh Giddey,SG,OKC,54,1700,5,58,36,2,0,wing_small_percent,94,6,8,210,80,wing
30051,2022,4850,Josh Green,SG,DAL,67,1039,1,43,55,1,0,wing_small_percent,98,6,5,200,77,wing
30053,2022,4525,Josh Hart,SG,NOP,41,1374,10,63,27,0,0,wing_small_percent,90,6,5,215,77,wing
30054,2022,4525,Josh Hart,SF,POR,13,417,0,47,48,5,0,wing_small_percent,95,6,5,215,77,wing
30056,2022,4526,Josh Jackson,SF,DET,39,707,0,0,47,53,0,wing_big_percent,100,6,8,207,80,wing
30057,2022,4526,Josh Jackson,SF,SAC,12,123,0,10,77,13,0,wing_big_percent,90,6,8,207,80,wing
30058,2022,4644,Josh Okogie,SG,MIN,49,516,3,40,54,4,0,wing_small_percent,94,6,4,213,76,wing
