,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
215,202355,Hassan Whiteside,1610612762,UTA,32.0,62,18.0,8.32,6.9,1.42,0.6,0.03,3.13,7.37,0.18,0.27,0.45,0.393,0.607,0.9,0.53,1.44,1.24,1.0,0.629,0.371,0.928,0.747,1610612762,Jazz,47,32,79,0.7848101265822784,0.6896551724137931,0.9913793103448276,0.11781609195402298,0.6379310344827587,0.8232758620689655,3.2600574712643677
218,1630529,Herbert Jones,1610612740,NOP,23.0,76,30.2,6.92,3.37,3.55,3.16,0.11,0.38,0.92,0.42,0.33,0.75,0.561,0.439,0.03,0.91,0.93,0.76,0.12,0.028,0.972,0.935,0.145,1610612740,Pelicans,35,44,79,0.9620253164556962,0.8304597701149425,0.6609195402298851,0.9597701149425287,0.6436781609195402,0.49137931034482757,3.586206896551724
219,1629649,Ignas Brazdeikis,1610612753,ORL,23.0,40,12.0,2.15,1.23,0.93,0.3,0.0,0.08,0.18,0.18,0.1,0.28,0.636,0.364,0.03,0.2,0.23,0.2,0.03,0.111,0.889,1.0,0.125,1610612753,Magic,21,59,80,0.5,0.15229885057471265,0.4281609195402299,0.020114942528735632,0.3994252873563218,0.2442528735632184,1.2442528735632183
220,1630193,Immanuel Quickley,1610612752,NYK,22.0,75,22.6,4.37,2.04,2.33,1.12,0.01,0.17,0.4,0.23,0.24,0.47,0.486,0.514,0.0,0.33,0.33,0.32,0.05,0.0,1.0,0.96,0.16,1610612752,Knicks,35,44,79,0.9493670886075949,0.37212643678160917,0.514367816091954,0.39655172413793105,0.3160919540229885,0.46264367816091956,2.0617816091954024
222,1630171,Isaac Okoro,1610612739,CLE,21.0,65,29.8,4.83,3.12,1.71,1.4,0.08,0.2,0.52,0.4,0.28,0.68,0.591,0.409,0.03,0.54,0.57,0.49,0.06,0.054,0.946,0.889,0.111,1610612739,Cavaliers,43,37,80,0.8125,0.7672413793103449,0.3132183908045977,0.3390804597701149,0.4281609195402299,0.34626436781609193,2.193965517241379
223,1628392,Isaiah Hartenstein,1610612746,LAC,23.0,65,17.6,8.69,6.83,1.86,1.08,0.08,2.29,5.29,0.17,0.11,0.28,0.611,0.389,0.34,1.09,1.43,1.15,0.6,0.237,0.763,0.974,0.506,1610612746,Clippers,39,40,79,0.8227848101265823,0.853448275862069,0.9971264367816092,0.6522988505747126,0.8908045977011494,0.08333333333333333,3.477011494252874
225,1630198,Isaiah Joe,1610612755,PHI,22.0,53,10.8,1.62,0.79,0.83,0.45,0.06,0.06,0.13,0.09,0.13,0.23,0.417,0.583,0.0,0.19,0.19,0.17,0.04,0.0,1.0,0.9,0.2,1610612755,76ers,49,30,79,0.6708860759493671,0.8793103448275862,0.2614942528735632,0.21551724137931033,0.4109195402298851,0.5977011494252874,2.3649425287356323
227,1629676,Isaiah Roby,1610612760,OKC,24.0,42,21.2,7.14,5.19,1.95,1.74,0.02,1.86,4.24,0.48,0.21,0.69,0.69,0.31,0.19,1.07,1.26,1.05,0.45,0.151,0.849,0.978,0.422,1610612760,Thunder,24,55,79,0.5316455696202531,0.5129310344827587,0.8879310344827587,0.853448275862069,0.8132183908045977,0.3879310344827586,3.4554597701149423
228,1630191,Isaiah Stewart,1610612765,DET,20.0,68,25.7,11.78,8.81,2.97,0.65,0.0,3.37,7.37,0.19,0.13,0.32,0.591,0.409,1.06,1.19,2.25,2.03,1.41,0.471,0.529,0.945,0.658,1610612765,Pistons,23,56,79,0.8607594936708861,0.15229885057471265,0.9885057471264368,0.022988505747126436,0.7902298850574713,0.04597701149425287,2.0
231,202397,Ish Smith,1610612764,WAS,33.0,62,17.3,2.02,1.06,0.95,0.98,0.06,0.23,0.6,0.21,0.37,0.58,0.361,0.639,0.0,0.19,0.19,0.18,0.06,0.0,1.0,1.0,0.364,1610612764,Wizards,35,44,79,0.7848101265822784,0.8160919540229885,0.08333333333333333,0.5402298850574713,0.20689655172413793,0.9942528735632183,2.640804597701149
232,1630688,Ish Wainright,1610612756,PHX,27.0,43,7.0,1.26,0.53,0.72,0.49,0.07,0.23,0.56,0.12,0.14,0.26,0.455,0.545,0.07,0.37,0.44,0.37,0.09,0.158,0.842,1.0,0.25,1610612756,Suns,63,16,79,0.5443037974683544,0.9712643678160919,0.43103448275862066,0.7413793103448276,0.8362068965517241,0.9712643678160919,3.9511494252873565
233,1627826,Ivica Zubac,1610612746,LAC,25.0,73,24.4,10.82,8.38,2.44,0.71,0.01,4.22,9.49,0.26,0.18,0.44,0.594,0.406,0.86,1.75,2.62,2.42,1.67,0.33,0.67,0.989,0.682,1610612746,Clippers,39,40,79,0.9240506329113924,0.367816091954023,0.9798850574712644,0.06321839080459771,0.9339080459770115,0.15517241379310345,2.5000000000000004
235,1629630,Ja Morant,1610612763,MEM,22.0,56,33.3,3.43,1.48,1.95,2.04,0.02,0.32,0.73,0.48,0.61,1.09,0.443,0.557,0.0,0.16,0.16,0.13,0.04,0.0,1.0,1.0,0.286,1610612763,Grizzlies,55,24,79,0.7088607594936709,0.4166666666666667,0.040229885057471264,0.6494252873563219,0.05172413793103448,0.9367816091954023,2.094827586206897
236,203210,JaMychal Green,1610612743,DEN,31.0,65,16.0,3.88,2.35,1.52,1.17,0.09,1.22,3.08,0.03,0.12,0.15,0.2,0.8,0.48,0.92,1.4,1.09,0.65,0.341,0.659,0.899,0.532,1610612743,Nuggets,47,33,80,0.8125,0.882183908045977,0.6896551724137931,0.7729885057471264,0.8649425287356322,0.16810344827586207,3.377873563218391
