player_id,player,tm,season,experience,salary,vorp,cap,percent_of_cap,vorp_per_percent_of_cap,wins_added,predicted_sal,act_minus_predict,diff_as_percent_of_cap
4183,Mike Muscala,ATL,2016,3,947276,0.2,70000000,0.013532514285714286,14.779219572753876,0.54,921951.2195121952,25324.78048780479,3.617825783972113e-4
4183,Mike Muscala,ATL,2017,4,1015696,1,94143000,0.01078886374982739,92.68816653801925,2.7,6199660.975609756,-5183964.975609756,-0.05506479478675798
4183,Mike Muscala,ATL,2018,5,5000000,0.6,99093000,0.050457650893604995,11.89116,1.62,3915381.951219512,1084618.0487804879,0.010945455771653779
4183,Mike Muscala,LAL,2019,6,5000000,0.2,101869000,0.049082645358254226,4.07476,0.54,1341689.268292683,3658310.731707317,0.035911913650937155
4183,Mike Muscala,OKC,2020,7,2028594,0.3,109140000,0.018587080813633864,16.140242946592565,0.81,2156180.487804878,-127586.48780487804,-0.0011690167473417448
4183,Mike Muscala,OKC,2021,8,2283034,0.3,109140000,0.02091839838739234,14.34144213358189,0.81,2156180.487804878,126853.51219512196,0.0011623008264167304
4183,Mike Muscala,OKC,2022,9,3500000,1.1,112414000,0.031134912021634317,35.33011428571429,2.9700000000000006,8143160.487804879,-4643160.487804879,-0.0413041123686096
4184,Miroslav Raduljica,LAC,2015,NA,300000,0,63065000,0.004756996749385555,0,0,0,300000,0.004756996749385555
4184,Miroslav Raduljica,LAC,2016,NA,300000,0,70000000,0.004285714285714286,0,0,0,300000,0.004285714285714286
4184,Miroslav Raduljica,LAC,2017,NA,300000,0,94143000,0.0031866415984194256,0,0,0,300000,0.0031866415984194256
4184,Miroslav Raduljica,LAC,2018,NA,252043,0,99093000,0.0025434995408353768,0,0,0,252043,0.0025434995408353768
4184,Miroslav Raduljica,LAC,2019,NA,252043,0,101869000,0.002474187436806094,0,0,0,252043,0.002474187436806094
4184,Miroslav Raduljica,MIN,2015,2,96100,-0.1,63065000,0.001523824625386506,-65.62434963579605,-0.27,-415306.09756097564,511406.09756097564,0.008109190479045044
4185,Nate Wolters,DEN,2017,NA,50000,0,94143000,5.311069330699043e-4,0,0,0,50000,5.311069330699043e-4
4185,Nate Wolters,MIL,2015,2,816482,-0.1,63065000,0.012946674066439389,-7.723991465825334,-0.27,-415306.09756097564,1231788.0975609757,0.019532039920097926
4185,Nate Wolters,NOP,2015,2,96056,-0.1,63065000,0.0015231269325299294,-65.65440992754228,-0.27,-415306.09756097564,511362.09756097564,0.008108492786188467
4185,Nate Wolters,UTA,2018,3,0,-0.1,99093000,0,-Inf,-0.27,-652563.6585365854,652563.6585365854,0.006585365853658537
4186,Nemanja Nedović,GSW,2014,1,1056720,-0.3,58679000,0.018008486852195846,-16.658812173518054,-0.81,-1159268.0487804879,2215988.048780488,0.03776458441317145
4186,Nemanja Nedović,GSW,2015,NA,1104240,0,63065000,0.01750955363513835,0,0,0,1104240,0.01750955363513835
4187,Nick Calathes,MEM,2015,2,816482,0.4,63065000,0.012946674066439389,30.895965863301335,1.08,1661224.3902439026,-844742.3902439026,-0.01339478934819476
4188,Ognjen Kuzmić,GSW,2015,2,816482,0,63065000,0.012946674066439389,0,0,0,816482,0.012946674066439389
4189,Otto Porter,CHI,2019,6,26011913,0.5,101869000,0.25534670017375255,1.9581220343155847,1.35,3354223.1707317075,22657689.82926829,0.22241987090545987
4189,Otto Porter,CHI,2020,7,27250576,0.3,109140000,0.24968458860179585,1.201515887223815,0.81,2156180.487804878,25094395.51219512,0.22992849104082025
4189,Otto Porter,GSW,2022,9,2389641,1.8,112414000,0.021257503513797214,84.67598271037366,4.86,13325171.707317075,-10935530.707317075,-0.09727908185205646
4189,Otto Porter,ORL,2021,8,28489239,0,109140000,0.26103389224848816,0,0,0,28489239,0.26103389224848816
4189,Otto Porter,WAS,2014,1,4278000,-0.3,58679000,0.07290512789924845,-4.114936886395512,-0.81,-1159268.0487804879,5437268.048780488,0.09266122546022407
4189,Otto Porter,WAS,2015,2,4470480,0.6,63065000,0.07088686276064378,8.464191764642722,1.62,2491836.5853658537,1978643.4146341463,0.03137466763869256
4189,Otto Porter,WAS,2016,3,4662960,1.8,70000000,0.06661371428571429,27.02146276185084,4.86,8297560.975609757,-3634600.975609757,-0.051922871080139384
4189,Otto Porter,WAS,2017,4,5893981,3.5,94143000,0.06260668344964575,55.904574514237495,9.450000000000001,21698813.41463415,-15804832.41463415,-0.16788112142840306
4189,Otto Porter,WAS,2018,5,24773250,3.4,99093000,0.25,13.6,9.18,22187164.390243903,2586085.609756097,0.02609756097560975
4190,Pero Antić,ATL,2015,2,1250000,-0.6,63065000,0.019820819789106478,-30.271199999999997,-1.62,-2491836.5853658537,3741836.5853658537,0.0593330149110577
4192,Phil Pressey,BOS,2015,2,816482,0.1,63065000,0.012946674066439389,7.723991465825334,0.27,415306.09756097564,401175.90243902436,0.006361308212780851
