player,season,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Bill Melchionni,1975,6.1,1,4.2,0.9,0.1,0.4959349593495934
Billy Cunningham,1975,19.5,9.1,5.5,1.1,0.4,0.547752808988764
Billy Harris,1975,8,1.6,1.5,0.7,0.1,0.6722689075630253
Billy Knight,1975,17.1,7.9,2.1,1.4,0.4,0.5916955017301039
Billy Paultz,1975,15.8,9.7,2.2,0.7,1.7,0.5249169435215948
Billy Shepherd,1975,6.3,1.1,4,1,0.1,0.504
Bingo Smith,1975,15.9,5,2.8,1,0.3,0.636
Bird Averitt,1975,13.1,2.2,3.8,1,0.2,0.645320197044335
Bo Lamar,1975,20.9,3.1,5.5,1.7,0.2,0.6656050955414012
Bob Dandridge,1975,19.9,6.9,3,1.5,0.6,0.6238244514106583
Bob Kauffman,1975,3.9,2.5,1.1,0.3,0.1,0.4936708860759494
Bob Lanier,1975,24,12,4.6,1,2.3,0.5466970387243736
Bob Love,1975,22,6.3,1.7,1,0.2,0.7051282051282052
Bob McAdoo,1975,34.5,14.1,2.2,1.1,2.1,0.6388888888888888
Bob Netolicky,1975,7.5,3.9,0.8,0.2,0.3,0.5905511811023622
Bob Warren,1975,4.7,1.6,1.3,0.5,0.1,0.573170731707317
Bob Weiss,1975,3.4,1.4,3.4,1.1,0.3,0.3541666666666667
Bobby Jones,1975,14.8,8.2,3.6,2,1.8,0.4868421052631579
Brian Taylor,1975,14,2.9,3.6,2.8,0.3,0.5932203389830508
Brian Winters,1975,11.7,2,2.9,1.1,0.3,0.6499999999999999
Bud Stallworth,1975,9.9,3.4,0.6,0.8,0.2,0.6644295302013423
Butch Beard,1975,12.8,3.9,4.2,1.6,0.1,0.5663716814159292
Byron Beck,1975,10.1,4.1,1.3,0.7,0.2,0.6158536585365854
Caldwell Jones,1975,19.5,14.1,2.1,0.8,3.2,0.49118387909319894
Calvin Murphy,1975,18.7,2.2,4.9,1.6,0.1,0.6799999999999999
Campy Russell,1975,6.2,2.2,0.7,0.3,0,0.6595744680851063
Charles Dudley,1975,4.1,2.2,1.5,0.6,0,0.488095238095238
Charles Edge,1975,5.9,4.4,0.5,0.7,0.5,0.4916666666666667
Charles Johnson,1975,10.9,3.9,2.9,1.7,0.1,0.558974358974359
Charlie Scott,1975,24.3,4,4.5,1.6,0.3,0.7002881844380404
Chet Walker,1975,19.2,5.7,2.2,0.6,0.1,0.6906474820143884
Chris Ford,1975,5.9,3.4,2.9,1.4,0.3,0.42446043165467623
Chuck Terry,1975,4.3,2.7,0.9,0.5,0,0.5119047619047619
Chuck Williams,1975,14.5,2.7,7.1,1.4,0.2,0.55984555984556
Cincinnatus Powell,1975,9.2,3.4,1.6,0.5,0.1,0.6216216216216216
Claude Terry,1975,6.7,2,1.6,0.5,0,0.6203703703703705
Clem Haskins,1975,4,1.1,1.1,0.3,0.1,0.6060606060606062
Clifford Ray,1975,9.4,10.6,2.2,1.2,1.4,0.3790322580645162
Coby Dietrick,1975,6.4,6.4,2,1,0.7,0.3878787878787879
Collis Jones,1975,9.9,4.6,1,1.3,0.4,0.5755813953488372
Cornell Warner,1975,7.6,10.3,1.6,0.6,0.7,0.36538461538461536
Curtis Perry,1975,13.4,11.9,2.4,1.4,1,0.4451827242524917
Curtis Rowe,1975,12.4,7.1,1.5,0.6,0.5,0.5610859728506787
Dale Schlueter,1975,3.5,3.5,1.4,0.2,0.6,0.3804347826086957
Dan Issel,1975,17.7,8.6,2.3,0.9,0.6,0.5880398671096345
Darnell Hillman,1975,13.9,9.2,1.6,0.9,1.6,0.5110294117647058
Darrell Elston,1975,8.3,2.3,2.8,1.1,0.1,0.5684931506849314
Dave Bing,1975,19,3.6,7.7,1.5,0.3,0.5919003115264797
Dave Cowens,1975,20.4,14.7,4.6,1.3,1.1,0.4845605700712589
Dave Robisch,1975,13,6,1.8,0.5,0.6,0.593607305936073
Dave Twardzik,1975,13.6,3.3,5.3,1.7,0.1,0.5666666666666667
Dave Wohl,1975,6.5,1.5,4.5,1,0.1,0.47794117647058826
David Vaughn,1975,11.7,10.8,1.6,1,1.5,0.4398496240601503
Dean Meminger,1975,7.9,2.7,5,1.5,0.1,0.4593023255813953
Dennis Awtrey,1975,9.9,8.6,4.2,0.7,0.6,0.41250000000000003
Derrek Dickey,1975,7.7,6.9,1.6,0.7,0.2,0.4502923976608187
Dick Gibbs,1975,3.3,1,0.3,0.2,0.1,0.6734693877551021
Dick Snyder,1975,14.2,2.9,3.4,0.8,0.5,0.6513761467889909
Dick Van Arsdale,1975,16.1,2.7,2.8,1.2,0.2,0.7000000000000001
Don Buse,1975,6.5,3.4,4.2,2.1,0.2,0.3963414634146341
Don Chaney,1975,9.5,4.5,2.2,1.5,0.8,0.5135135135135135
Don Nelson,1975,14,5.9,2.3,0.4,0.2,0.6140350877192983
Donnie Freeman,1975,15.5,2.4,2.6,0.8,0.2,0.7209302325581395
Doug Collins,1975,17.9,3.9,2.6,1.3,0.2,0.6911196911196911
Dwight Davis,1975,9.8,5.9,1.9,0.6,0.5,0.5240641711229946
Dwight Jones,1975,10.4,9.3,2,0.7,0.7,0.4502164502164502
E.C. Coleman,1975,8.1,7.1,1.4,1.1,0.5,0.44505494505494503
Earl Monroe,1975,20.9,4.2,3.5,1.4,0.4,0.6875000000000001
Earl Williams,1975,4.7,5.8,1.2,0.4,0.4,0.376
Ed Manning,1975,3.4,3,0.8,0.6,0.1,0.43037974683544306
Ed Ratleff,1975,11.8,5.7,3.2,1.8,0.6,0.5108225108225108
Elmore Smith,1975,10.9,10.9,2,1.1,2.9,0.3920863309352518
Elvin Hayes,1975,23,12.2,2.5,1.9,2.3,0.5489260143198091
Eric Money,1975,4.8,1.3,1.5,0.5,0,0.5925925925925926
Fatty Taylor,1975,8.4,2.9,4.4,2.3,0.2,0.46153846153846156
Fly Williams,1975,9.4,2.5,2,0.9,0.1,0.6308724832214765
Foots Walker,1975,4.2,2,2.7,1.1,0.1,0.4158415841584159
Fred Brown,1975,21,4.2,3.5,2.3,0.2,0.6730769230769231
Fred Carter,1975,21.9,4.4,4.4,1.1,0.3,0.6822429906542057
Fred Foster,1975,6.9,1.5,1.4,0.3,0,0.6831683168316831
Fred Saunders,1975,6.1,3.7,1.2,0.6,0.2,0.516949152542373
Freddie Boyd,1975,7,1.3,2.4,0.7,0.1,0.6086956521739131
Gail Goodrich,1975,22.6,3,5.8,1.4,0.1,0.6869300911854103
Gar Heard,1975,11.1,9.9,2.8,1.6,1.8,0.4080882352941176
Gary Brokaw,1975,8.1,2,3,0.4,0.2,0.5912408759124088
Gary Melchionni,1975,8.5,2.8,2.3,0.7,0.2,0.5862068965517241
Gene Littles,1975,3.5,1.4,2,0.9,0.1,0.4430379746835443
Geoff Petrie,1975,18.3,2.6,5.3,1,0.2,0.6678832116788321
George Adams,1975,9.3,4.4,1.7,0.6,0.5,0.5636363636363637
George Carter,1975,18.4,7.1,3.1,1.1,0.4,0.6112956810631228
George Gervin,1975,23.4,8.3,2.5,1.6,1.6,0.6256684491978608
George Irvine,1975,13.1,3.4,1.8,0.5,0.2,0.6894736842105263
George Johnson,1975,4.4,7,0.8,0.4,1.7,0.3076923076923077
George Karl,1975,8.1,1.9,4.1,1.2,0.1,0.525974025974026
George McGinnis,1975,29.8,14.3,6.3,2.6,0.7,0.5549348230912476
George Thompson,1975,10.7,2.5,3.1,0.9,0.1,0.6184971098265896
George Trapp,1975,8.7,3.5,0.8,0.5,0.2,0.635036496350365
