season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
2022,Anthony Gill,WAS,44,463,13.1,0.5365853658536586,-2.2,15.3
1997,Gheorghe Mureșan,WSB,73,1849,10,0.8902439024390244,-0.10000000000000003,10.1
1997,Eldridge Recasner,ATL,71,1207,-10.5,0.8658536585365854,0.5,-11
1998,Eldridge Recasner,ATL,59,1454,-9.4,0.7195121951219512,-0.4,-9
1999,Ed Gray,ATL,30,337,-19,0.6,-5.25,-13.75
2000,Lorenzen Wright,ATL,75,1205,-4.4,0.9146341463414634,-0.5,-3.9000000000000004
2001,Hanno Möttölä,ATL,73,989,-8.4,0.8902439024390244,-3.1,-5.300000000000001
2002,Dion Glover,ATL,55,1156,-8.5,0.6707317073170732,-0.4000000000000001,-8.1
2003,Dan Dickau,ATL,50,515,-11.5,0.6097560975609756,0.19999999999999996,-11.7
2004,Jacque Vaughn,ATL,71,1271,-5.8,0.8658536585365854,0.7,-6.5
2005,Jason Collier,ATL,70,942,-11.8,0.8536585365853658,2,-13.8
2006,Joe Johnson,ATL,82,3340,-6.9,1,-1.25,-5.65
2007,Solomon Jones,ATL,58,666,-8.6,0.7073170731707317,-1.8,-6.8
2008,Acie Law,ATL,56,865,-6.6,0.6829268292682927,-1.6,-5
2009,Solomon Jones,ATL,63,675,-6.8,0.7682926829268293,-3.2,-3.5999999999999996
2010,Jeff Teague,ATL,71,719,-7.5,0.8658536585365854,0.4,-7.9
2011,Josh Powell,ATL,54,653,-9.5,0.6585365853658537,-0.1,-9.4
2012,Willie Green,ATL,53,922,-10.7,0.803030303030303,-1.4,-9.299999999999999
2013,John Jenkins,ATL,61,902,-10.4,0.7439024390243902,-1.1,-9.3
2014,Dennis Schröder,ATL,49,641,-17.4,0.5975609756097561,-0.7000000000000001,-16.7
2015,Kent Bazemore,ATL,75,1324,-10.4,0.9146341463414634,0.2,-10.6
2016,Jeff Teague,ATL,79,2255,-6.2,0.9634146341463414,0.2,-6.4
2017,Kris Humphries,ATL,56,689,-4.6,0.6829268292682927,-2.4,-2.1999999999999997
2018,Marco Belinelli,ATL,52,1210,-5.9,0.6341463414634146,-1.6,-4.300000000000001
2019,Omari Spellman,ATL,46,805,-7.5,0.5609756097560976,-0.3,-7.2
2020,Damian Jones,ATL,55,887,-8.3,0.8208955223880597,0.44999999999999996,-8.75
2021,Onyeka Okongwu,ATL,50,601,-10,0.6944444444444444,0.2,-10.2
2022,Timothé Luwawu-Cabarrot,ATL,52,685,-5.4,0.6341463414634146,1.9,-7.300000000000001
1997,Antoine Walker,BOS,82,2970,-4.8,1,-0.2,-4.6
1998,Dee Brown,BOS,41,811,-9.2,0.5,-0.5,-8.7
1999,Antoine Walker,BOS,42,1549,-11,0.84,-0.6,-10.4
2000,Dana Barros,BOS,72,1139,-6.9,0.8780487804878049,-0.35000000000000003,-6.550000000000001
2001,Bryant Stith,BOS,78,2504,-2.3,0.9512195121951219,0.4,-2.6999999999999997
2002,Milt Palacio,BOS,41,518,-14.2,0.5,-2.1,-12.1
2003,Grant Long,BOS,41,488,-5,0.5,-2.2,-2.8
2003,Kedrick Brown,BOS,51,666,-5,0.6219512195121951,-2.2,-2.8
2004,Chris Mihm,BOS,54,939,-5.1,0.6585365853658537,-2.1,-2.9999999999999996
2005,Ricky Davis,BOS,82,2696,-7,1,0,-7
2006,Al Jefferson,BOS,59,1062,-4.8,0.7195121951219512,-0.9,-3.9
2007,Ryan Gomes,BOS,73,2275,-9.4,0.8902439024390244,0.6,-10
2008,James Posey,BOS,74,1821,-11,0.9024390243902439,-3.45,-7.55
2009,Glen Davis,BOS,76,1637,-6.7,0.926829268292683,0.35,-7.05
