seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
31014,2023,4783,Romeo Langford,SG,SAS,43,844,11,65,24,0,0,wing_small_percent,89,6,4,216,76,wing,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5,FALSE
31016,2023,4560,Royce O'Neale,SF,BRK,76,2409,0,15,54,28,3,wing_big_percent,82,6,4,226,76,wing,0.4,2.5,2.9,0.057,-1.7,0.6,-1.1,0.5,FALSE
31017,2023,3713,Rudy Gay,PF,UTA,56,816,0,0,0,64,36,big_percent,100,6,8,250,80,big,-0.4,0.7,0.3,0.018,-3.6,-0.4,-4,-0.4,FALSE
31018,2023,4199,Rudy Gobert,C,MIN,70,2148,0,0,0,0,100,big_percent,100,7,1,258,85,big,4.3,3.5,7.8,0.174,0,0.6,0.7,1.4,TRUE
31020,2023,4784,Rui Hachimura,PF,WAS,30,728,0,0,56,42,3,wing_big_percent,98,6,8,230,80,wing,0,0.5,0.6,0.038,-1.2,-1.4,-2.6,-0.1,FALSE
31021,2023,4784,Rui Hachimura,PF,LAL,33,738,0,0,24,54,22,wing_big_percent,78,6,8,230,80,wing,0.5,0.7,1.2,0.081,-1.4,-0.5,-1.9,0,FALSE
31023,2023,3849,Russell Westbrook,PG,LAL,52,1491,47,43,10,0,0,guard_percent,90,6,3,200,75,guard,-1.2,1.9,0.7,0.023,-0.2,0.1,-0.1,0.7,TRUE
31024,2023,3849,Russell Westbrook,PG,LAC,21,635,92,8,0,0,0,guard_percent,100,6,3,200,75,guard,0.6,0.7,1.2,0.092,1.6,-0.7,0.9,0.5,FALSE
31027,2023,4561,Ryan Arcidiacono,PG,POR,9,146,96,4,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,-0.2,0,-0.1,-0.049,-7,-2.4,-9.4,-0.3,FALSE
31031,2023,4881,Saben Lee,PG,PHO,23,363,99,1,0,0,0,guard_percent,100,6,2,183,74,guard,0.3,0.4,0.7,0.093,-2.7,0.9,-1.8,0,FALSE
31033,2023,4882,Saddiq Bey,SF,DET,52,1500,0,11,79,9,1,wing_small_percent,90,6,7,215,79,wing,1.5,0.8,2.3,0.074,0.5,-1.1,-0.7,0.5,FALSE
31034,2023,4882,Saddiq Bey,SF,ATL,25,629,0,7,69,24,0,wing_big_percent,93,6,7,215,79,wing,1.1,0.5,1.6,0.119,1.7,-1.2,0.5,0.4,FALSE
31035,2023,5003,Sam Hauser,PF,BOS,80,1290,0,2,21,71,6,wing_big_percent,92,6,8,215,80,wing,1.8,1.6,3.4,0.128,0.6,0.4,1,1,FALSE
31039,2023,5004,Sandro Mamukelashvili,C,SAS,19,443,0,0,0,22,79,big_percent,101,6,11,240,83,big,0.4,0.2,0.6,0.07,0.3,-2.1,-1.8,0,FALSE
31040,2023,5005,Santi Aldama,PF,MEM,77,1682,0,0,0,45,55,big_percent,100,6,11,224,83,big,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,FALSE
31041,2023,5006,Scottie Barnes,PF,TOR,77,2678,0,2,42,44,12,wing_big_percent,86,6,9,227,81,wing,2.3,2.7,5,0.09,0.5,-0.1,0.4,1.6,TRUE
31044,2023,4203,Seth Curry,SG,BRK,61,1211,35,49,17,0,0,guard_percent,84,6,2,185,74,guard,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0,FALSE
31045,2023,5097,Shaedon Sharpe,SG,POR,80,1779,8,61,30,0,0,wing_small_percent,91,6,6,200,78,wing,0.6,0.6,1.2,0.032,-1.3,-2,-3.3,-0.6,FALSE
31046,2023,4670,Shai Gilgeous-Alexander,PG,OKC,68,2416,84,17,0,0,0,guard_percent,101,6,6,180,78,guard,8.4,3,11.4,0.226,5.8,1.5,7.3,5.6,TRUE
31047,2023,4671,Shake Milton,SG,PHI,76,1567,13,58,28,1,0,wing_small_percent,86,6,5,205,77,wing,1.6,1.2,2.9,0.087,-1,-0.9,-2,0,FALSE
31048,2023,4563,Shaquille Harrison,SG,POR,5,120,100,0,0,0,0,guard_percent,100,6,4,190,76,guard,0.2,0.2,0.3,0.137,-2.5,2.6,0.1,0.1,FALSE
31049,2023,5098,Simone Fontecchio,SF,UTA,52,766,0,13,58,29,0,wing_big_percent,87,6,8,209,80,wing,-0.4,0.3,-0.1,-0.004,-3,-2.1,-5.2,-0.6,FALSE
31050,2023,4885,Skylar Mays,SG,POR,6,189,74,26,0,0,0,guard_percent,100,6,4,205,76,guard,0.6,0.1,0.7,0.171,2.3,-1.9,0.4,0.1,FALSE
31052,2023,4291,Spencer Dinwiddie,PG,DAL,53,1808,85,13,2,0,0,guard_percent,98,6,5,215,77,guard,3.3,1,4.3,0.114,2,-1.2,0.9,1.3,FALSE
31053,2023,4291,Spencer Dinwiddie,PG,BRK,26,917,98,2,0,0,0,guard_percent,100,6,5,215,77,guard,1.2,0.8,2,0.103,0.7,-0.5,0.2,0.5,FALSE
31054,2023,4364,Stanley Johnson,SF,SAS,30,469,0,22,64,13,1,wing_small_percent,86,NA,NA,NA,NA,wing,0.5,0.3,0.7,0.076,-0.8,-0.2,-1,0.1,FALSE
31056,2023,3903,Stephen Curry,PG,GSW,56,1941,100,0,0,0,0,guard_percent,100,6,2,185,74,guard,5.8,2,7.8,0.192,7.5,0.1,7.6,4.7,TRUE
31058,2023,4208,Steven Adams,C,MEM,42,1133,0,0,0,0,100,big_percent,100,6,11,265,83,big,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,FALSE
31061,2023,4672,Svi Mykhailiuk,SF,CHO,19,428,1,25,70,3,1,wing_small_percent,95,6,7,205,79,wing,0.4,0.3,0.7,0.076,0.3,-0.8,-0.5,0.2,FALSE
